Node ID, X, Y, Z 
151 15.999999041159299 10.999999550070171 31.5 
191 -16.0000009588407 10.999999550070171 42.0 
205 -16.0000009588407 -11.000000449929829 42.0 
333 15.999999041159299 10.999999550070171 38.5 
337 15.999999041159299 -11.000000449929829 38.5 
441 -16.0000009588407 -11.000000449929829 38.5 
444 -16.0000009588407 10.999999550070171 38.5 
794 -16.0000009588407 -11.000000449929829 31.5 
862 -16.0000009588407 10.999999550070171 35.0 
866 -16.0000009588407 -11.000000449929829 35.0 
870 15.999999041159299 -11.000000449929829 35.0 
873 15.999999041159299 10.999999550070171 35.0 
874 -16.0000009588407 10.999999550070171 31.5 
