,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
0,FixBase,20f2s,1,s1,0.008400000000000012,zone1
1,FixBase,20f4s,1,s1,0.006628571428571428,zone1
2,FixBase,20f2s,2,s1,0.008571428571428579,zone1
3,FixBase,20f4s,2,s1,0.0074857142857142865,zone1
4,FixBase,20f2s,3,s1,0.006742857142857146,zone1
5,FixBase,20f4s,3,s1,0.006800000000000012,zone1
6,FixBase,20f2s,4,s1,0.004257142857142864,zone1
7,FixBase,20f4s,4,s1,0.0040571428571428625,zone1
8,FixBase,20f2s,5,s1,0.008771428571428572,zone1
9,FixBase,20f4s,5,s1,0.00862857142857143,zone1
10,FixBase,20f2s,1,s2,0.002400000000000001,zone1
11,FixBase,20f4s,1,s2,0.0026000000000000034,zone1
12,FixBase,20f2s,2,s2,0.0029142857142857143,zone1
13,FixBase,20f4s,2,s2,0.0026857142857142913,zone1
14,FixBase,20f2s,3,s2,0.0044571428571428574,zone1
15,FixBase,20f4s,3,s2,0.0040000000000000036,zone1
16,FixBase,20f2s,4,s2,0.0024285714285714305,zone1
17,FixBase,20f4s,4,s2,0.0021428571428571447,zone1
18,FixBase,20f2s,5,s2,0.0032857142857142885,zone1
19,FixBase,20f4s,5,s2,0.003171428571428571,zone1
20,FixBase,20f2s,1,s3,0.004514285714285717,zone1
21,FixBase,20f4s,1,s3,0.004571428571428575,zone1
22,FixBase,20f2s,2,s3,0.003085714285714287,zone1
23,FixBase,20f4s,2,s3,0.0034000000000000024,zone1
24,FixBase,20f2s,3,s3,0.0024857142857142894,zone1
25,FixBase,20f4s,3,s3,0.002285714285714288,zone1
26,FixBase,20f2s,4,s3,0.0022000000000000014,zone1
27,FixBase,20f4s,4,s3,0.0025428571428571405,zone1
28,FixBase,20f2s,5,s3,0.003371428571428573,zone1
29,FixBase,20f4s,5,s3,0.0037714285714285723,zone1
30,FixBase,20f2s,1,s4,0.0023428571428571426,zone2
31,FixBase,20f4s,1,s4,0.0030000000000000027,zone2
32,FixBase,20f2s,2,s4,0.0036857142857142844,zone2
33,FixBase,20f4s,2,s4,0.0034857142857142864,zone2
34,FixBase,20f2s,3,s4,0.0024285714285714305,zone2
35,FixBase,20f4s,3,s4,0.0024285714285714305,zone2
36,FixBase,20f2s,4,s4,0.004371428571428574,zone2
37,FixBase,20f4s,4,s4,0.004971428571428571,zone2
38,FixBase,20f2s,5,s4,0.0030571428571428572,zone2
39,FixBase,20f4s,5,s4,0.0029714285714285693,zone2
40,FixBase,20f2s,1,s5,0.0016285714285714278,zone2
41,FixBase,20f4s,1,s5,0.0018285714285714294,zone2
42,FixBase,20f2s,2,s5,0.001514285714285714,zone2
43,FixBase,20f4s,2,s5,0.0015428571428571436,zone2
