,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
0,AbsBound,20f2s,s1,0.0015087501009475,0.0021220537825580197,0.00268754500443312,0.00325361657619576,0.0031682593791249
1,AbsBound,20f2s,s2,0.00060308036331552,0.00085495537245272,0.0011387500301062998,0.00139366075853844,0.00135209825263396
2,AbsBound,20f2s,s3,0.0006404464350686599,0.00081531251336264,0.00108526788503798,0.0014343303990271,0.0014002232508450601
3,AbsBound,20f2s,s4,0.0006970535800990801,0.00091495537433008,0.00114794645734642,0.0014673214754228,0.00143906254542276
4,AbsBound,20f2s,s5,0.00045415178755904,0.0005933035759398,0.00074964286474654,0.00094299108357512,0.00093410715552684
5,AbsBound,20f2s,s6,0.00044535714542859995,0.00061946429120856,0.00083120536706238,0.00095933036878318,0.0009410714400982401
6,AbsBound,20f2s,s7,0.00037348214439918,0.00053299107488772,0.0007087053633727201,0.0008287053653175799,0.00080808036465426
7,AbsBound,20f2s,s8,0.00036000000131818,0.00048174107395176,0.00066870536261396,0.00079236607895064,0.0007680803641470999
8,AbsBound,20f2s,s9,0.00029383928649652,0.00040160714445784006,0.00054272321724874,0.0006530357189742,0.00063066964685928
9,AbsBound,20f4s,s1,0.0033174117020358398,0.00413424260151974,0.00529638732706694,0.00637380001337408,0.00620683539090552
10,AbsBound,20f4s,s2,0.0014341518733011801,0.00180218766231802,0.00227174137598218,0.0027379468420936403,0.0026725896515233
11,AbsBound,20f4s,s3,0.00147361615034198,0.00175549122761344,0.00229781284854148,0.00302160768464972,0.00297906301541234
12,AbsBound,20f4s,s4,0.0016056697013854802,0.0018616519193307202,0.0024121432422314,0.00308348274343348,0.00302500060468894
13,AbsBound,20f4s,s5,0.00098616073597256,0.00119924111364544,0.0014708036430510201,0.00184901798346414,0.0018364733408686399
14,AbsBound,20f4s,s6,0.0010195536012744199,0.00127174112310788,0.00167933045257748,0.0019342412012707,0.0018763393976856003
15,AbsBound,20f4s,s7,0.00084455358813128,0.00105642859945922,0.00136098219699666,0.00164191972554198,0.0015833482912508
16,AbsBound,20f4s,s8,0.0007960714397054,0.00094441966289046,0.00124669647334944,0.00151941970499974,0.0014760714889973
17,AbsBound,20f4s,s9,0.00063290179301154,0.00080540179933388,0.00103491073900192,0.00128107147109962,0.0012607589692913
18,DRM,20f2s,s1,0.00686142646256286,0.00464697654329774,0.00553760474424912,0.0064025638661771,0.00642801031167844
19,DRM,20f2s,s2,0.00288646909101044,0.00347875805885368,0.00395737666364616,0.00431273657185146,0.00422528060131136
20,DRM,20f2s,s3,0.00528251018096288,0.00375983248257484,0.004090147490148939,0.00457015068217064,0.00454050672429782
21,DRM,20f2s,s4,0.0053685679017414,0.00286370949959644,0.00331893426834454,0.00362023005194786,0.003561524412764
22,DRM,20f2s,s5,0.0018424531807789198,0.0024914314912565,0.00279522707875626,0.0029520132338366,0.0029315667170118796
23,DRM,20f2s,s6,0.0017266961377411,0.0022273681782602603,0.00259911012211548,0.00276790519785876,0.00275745873595836
24,DRM,20f2s,s7,0.0012728571284382002,0.00138183074508666,0.0017255809756750202,0.0018755364507554001,0.0018390631997313
25,DRM,20f2s,s8,0.00163142831507238,0.00150575946458316,0.0017712507672930002,0.0019683938681349803,0.00198415278304512
26,DRM,20f2s,s9,0.0010817633791585,0.0011193752159251,0.00133620568789076,0.0014641521474547802,0.00146067000570314
27,DRM,20f4s,s1,0.00412857920427392,0.00469125621259864,0.00586170805487048,0.00723612701247828,0.00719001047843168
28,DRM,20f4s,s2,0.0014164732882078399,0.0017095089576910799,0.00221816979122374,0.00272852724024682,0.00270665224030804
29,DRM,20f4s,s3,0.00203116097432996,0.0019482148134134403,0.00243848269604762,0.0029591525303993603,0.00295580439924258
30,DRM,20f4s,s4,0.0025984652268954004,0.00244852910766368,0.0029429505269200603,0.0035542905679965394,0.0035298708217313597
31,DRM,20f4s,s5,0.00101022328226614,0.0011918750592056601,0.00149620549182824,0.00188290207101482,0.00189553602194602
32,DRM,20f4s,s6,0.001126651864563,0.001293526903502,0.00174897312723926,0.00201968758120364,0.00198968757874044
33,DRM,20f4s,s7,0.0009437053968834999,0.00109392864256342,0.00143651799683576,0.0017135716197381,0.00169758949987658
34,DRM,20f4s,s8,0.00088232145752618,0.00100191967520124,0.00136218751878906,0.00158116074946692,0.00155513396227554
35,DRM,20f4s,s9,0.0007433482416390801,0.00085486608851314,0.00108209828244854,0.00134691975793412,0.0013512054748306599
36,FixBase,20f2s,s1,0.0026871428571428003,0.00410428571428566,0.00550428571428566,0.007067142857142819,0.0069742857142856595
37,FixBase,20f2s,s2,0.0010814285714285201,0.00174142857142854,0.00244285714285708,0.00298999999999996,0.00292714285714282
38,FixBase,20f2s,s3,0.00113285714285712,0.00163142857142854,0.0022285714285714,0.0029828571428571,0.00295714285714282
39,FixBase,20f2s,s4,0.00126571428571426,0.0018285714285713802,0.00232571428571426,0.00301285714285708,0.0030014285714285204
40,FixBase,20f2s,s5,0.00087285714285708,0.00123428571428566,0.0016828571428571,0.00207428571428568,0.00203999999999996
41,FixBase,20f2s,s6,0.0007971428571428199,0.0012385714285713802,0.00168714285714282,0.00207999999999996,0.0020342857142856803
42,FixBase,20f2s,s7,0.00063714285714282,0.00103428571428566,0.00143571428571424,0.00172999999999996,0.0016828571428571
43,FixBase,20f2s,s8,0.00062999999999996,0.00103714285714282,0.0014657142857142599,0.00178999999999996,0.0017457142857142597
44,FixBase,20f2s,s9,0.0005471428571428201,0.0008114285714285,0.0011471428571428201,0.00137428571428566,0.00133999999999996
45,FixBase,20f4s,s1,0.0033714285714285196,0.00434857142857138,0.00550428571428566,0.0065899999999999405,0.00637999999999998
46,FixBase,20f4s,s2,0.00142571428571426,0.0018542857142856597,0.00236714285714282,0.00284999999999996,0.0027728571428571
47,FixBase,20f4s,s3,0.00152428571428568,0.00182571428571422,0.0023985714285714,0.00318142857142852,0.0031342857142856798
