,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s2,s3,s4,s5,s6,s7,s9,9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,FixBase,20f2s,1,s1,zone1,0.002942857142857143,0.003114285714285715,0.003257142857142858,0.0037142857142857155,0.0044571428571428574,0.004857142857142858,0.005371428571428575,0.005800000000000004,0.006228571428571432,0.006628571428571428,0.006971428571428573,0.007342857142857143,0.007571428571428578,0.007714285714285721,0.008057142857142865,0.008200000000000002,0.008257142857142867,0.008400000000000012,0.008257142857142852,0.007971428571428582
1,FixBase,20f2s,2,s1,zone1,0.0031428571428571426,0.003371428571428572,0.0036571428571428575,0.004285714285714286,0.00522857142857143,0.005742857142857144,0.006114285714285715,0.006342857142857146,0.006542857142857144,0.0066571428571428615,0.006800000000000004,0.007342857142857143,0.007742857142857147,0.008028571428571432,0.008371428571428577,0.008485714285714287,0.008485714285714287,0.008571428571428579,0.008400000000000012,0.008142857142857151
2,FixBase,20f2s,3,s1,zone1,0.0025714285714285717,0.002628571428571429,0.0026857142857142865,0.003057142857142858,0.003657142857142859,0.0039714285714285745,0.004285714285714288,0.00465714285714286,0.004971428571428571,0.005285714285714287,0.005571428571428577,0.005942857142857146,0.006199999999999999,0.006371428571428576,0.0066000000000000026,0.006685714285714295,0.006685714285714295,0.006742857142857146,0.006628571428571428,0.006457142857142859
3,FixBase,20f2s,4,s1,zone1,0.0014,0.0014571428571428572,0.0015142857142857145,0.0017428571428571426,0.002142857142857143,0.002428571428571428,0.0026857142857142874,0.0028857142857142875,0.0030571428571428594,0.003171428571428575,0.0032857142857142885,0.0036,0.003828571428571431,0.0039714285714285745,0.004171428571428576,0.0042285714285714305,0.0042285714285714305,0.004257142857142864,0.0041714285714285725,0.0040571428571428625
4,FixBase,20f2s,5,s1,zone1,0.0036285714285714285,0.0037142857142857147,0.003742857142857143,0.004228571428571429,0.005085714285714286,0.005457142857142855,0.005628571428571427,0.005600000000000005,0.0056285714285714316,0.0058857142857142875,0.006200000000000003,0.006685714285714287,0.007171428571428574,0.007657142857142862,0.008200000000000002,0.008485714285714287,0.008600000000000003,0.008771428571428572,0.00862857142857143,0.008314285714285718
5,FixBase,20f2s,1,s2,zone1,0.0010571428571428572,0.0010571428571428574,0.0010571428571428572,0.0011714285714285717,0.001371428571428572,0.0014571428571428572,0.0015428571428571436,0.001657142857142857,0.001799999999999999,0.0019142857142857156,0.002028571428571429,0.0021428571428571447,0.0022000000000000014,0.002228571428571429,0.002257142857142858,0.0023142857142857153,0.002342857142857145,0.002400000000000001,0.0023428571428571426,0.002285714285714288
6,FixBase,20f2s,2,s2,zone1,0.0010571428571428572,0.0011428571428571432,0.0012571428571428573,0.0014571428571428572,0.0017714285714285716,0.002,0.0022000000000000006,0.0023142857142857153,0.0024285714285714266,0.0025142857142857167,0.0025714285714285696,0.0026285714285714285,0.0026285714285714285,0.0027142857142857164,0.0028285714285714264,0.0028857142857142853,0.0028857142857142853,0.0029142857142857143,0.0028571428571428593,0.0027714285714285753
7,FixBase,20f2s,3,s2,zone1,0.0013714285714285716,0.0015142857142857143,0.0016571428571428575,0.001942857142857143,0.002371428571428572,0.0026857142857142865,0.0029428571428571438,0.003171428571428571,0.0033428571428571452,0.0034857142857142864,0.0036857142857142883,0.003942857142857145,0.004085714285714288,0.004200000000000005,0.004371428571428574,0.004400000000000006,0.0043999999999999985,0.0044571428571428574,0.004371428571428574,0.0042285714285714305
8,FixBase,20f2s,4,s2,zone1,0.0009142857142857144,0.001,0.0010857142857142856,0.0012571428571428573,0.0015142857142857145,0.0017142857142857138,0.0018571428571428567,0.001942857142857143,0.0020000000000000018,0.0020857142857142862,0.002142857142857143,0.0022285714285714313,0.002257142857142858,0.002285714285714288,0.002400000000000001,0.0024285714285714305,0.0024285714285714305,0.0024285714285714305,0.002371428571428572,0.002314285714285717
9,FixBase,20f2s,5,s2,zone1,0.0011428571428571427,0.0011714285714285715,0.0012285714285714287,0.0014000000000000004,0.0017142857142857148,0.0018571428571428578,0.0019714285714285723,0.002114285714285713,0.002171428571428572,0.002285714285714286,0.0024857142857142873,0.0027142857142857164,0.0028857142857142875,0.0030000000000000027,0.0031428571428571456,0.0032000000000000006,0.0032285714285714296,0.0032857142857142885,0.0032285714285714296,0.0031142857142857122
