,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
31,DRM,20f4s,s5,2.7704950410900424,1.1877191326191077,0.9997520831137177,1.2773068642142715,1.9908778590637493
32,DRM,20f4s,s6,1.4581311401592125,1.3400481848962773,1.102136409188993,1.0650096810964522,1.8058083223312948
33,DRM,20f4s,s7,1.3412696188533701,0.7488435682354442,0.8449999601562904,0.8662243980671877,1.358358060863878
34,DRM,20f4s,s8,1.4219770688654545,0.9516927381163341,0.8150718853911805,0.7924755650561738,1.5874297630457048
35,DRM,20f4s,s9,0.9793794100498647,1.192074999538598,1.3014925406208784,0.6186613436535751,1.8468910097023845
36,FixBase,20f2s,s1,5.114961425289733,2.9027241958937204,2.111757352081379,2.2331157113362674,3.1638569425985468
37,FixBase,20f2s,s2,1.5434128914890939,0.8174379010186585,1.4994053568907044,1.0191546964117975,0.8151054299533534
38,FixBase,20f2s,s3,1.7726409967600325,1.1611402794580932,1.5765304232184303,1.0780709482518722,1.5350251729753486
39,FixBase,20f2s,s4,2.357617736585997,1.1106746524095117,1.1694880965853751,0.8740641189432813,1.4321703920016535
40,FixBase,20f2s,s5,1.1718851281162963,0.6404731958320509,0.8978955997064026,0.9189050032266592,1.338504111877961
41,FixBase,20f2s,s6,1.1222841286665548,0.5041518120510983,0.7166720737174792,0.5145967795975565,0.9055920666845635
42,FixBase,20f2s,s7,0.8232001157555444,0.5279648947175073,0.6941785998507843,0.41562375834590864,0.6311131226098416
43,FixBase,20f2s,s8,0.671791224782692,0.5411943773078004,0.791632540779442,0.726577486669938,1.0445362473181121
44,FixBase,20f2s,s9,0.8960973319725314,0.4397593709497616,0.6725692044310511,0.5906595030119609,0.5564631613856594
45,FixBase,20f4s,s1,5.581206225196611,2.791184714675969,1.9514497497654542,2.4934138943740893,2.9507547357191712
46,FixBase,20f4s,s2,1.6759120129309735,1.3111964532655418,1.6442435487328602,1.1000986526647154,0.8543089627685934
47,FixBase,20f4s,s3,2.0206007975318347,1.491824594502448,1.6084595753695272,1.2349434048063577,1.7783530927494329
48,FixBase,20f4s,s4,2.3792172586188407,1.399861083415611,1.236771595982301,0.9536179189208976,1.2226838799429547
49,FixBase,20f4s,s5,1.3569264438371451,0.843193645426384,0.8921804145668366,0.8752609143153494,1.2806107832358102
50,FixBase,20f4s,s6,1.2313820935552573,0.6706642818511822,0.763457671416617,0.5641984678182534,0.7974516329228768
51,FixBase,20f4s,s7,0.8393080951405896,0.6209350907233473,0.805982862414208,0.5216687312277992,0.6435900136600298
52,FixBase,20f4s,s8,1.0766056677246254,0.6286165354625464,0.8216322233858422,0.8321542598891473,1.1124413664926245
53,FixBase,20f4s,s9,0.822831140048077,0.5608410677626552,0.8645970770761775,0.645446727757655,0.613595894619621
