,Sim_Type,Nsubs,Iteration,Station,BShear_X,BShear_Y,Zone
61,FixBase,20f4s,2,s4,14.793959785979983,130.18861889728137,zone2
62,FixBase,20f4s,3,s4,18.939062283296256,74.82479822425503,zone2
63,FixBase,20f4s,4,s4,131.97870956658372,112.6375027560187,zone2
64,FixBase,20f4s,5,s4,7.856247851936146,55.75343969675244,zone2
65,FixBase,20f4s,1,s5,23.210268631755007,61.55327728778623,zone2
66,FixBase,20f4s,2,s5,11.146179763567522,19.57503135136125,zone2
67,FixBase,20f4s,3,s5,47.964754677423734,49.401997678822546,zone2
68,FixBase,20f4s,4,s5,27.386068454988752,22.29438868250251,zone2
69,FixBase,20f4s,5,s5,4.740373146007499,2.510198476327478,zone2
70,FixBase,20f4s,1,s6,7.661609427884978,40.75779985417119,zone2
71,FixBase,20f4s,2,s6,24.467733761392484,35.84451852869254,zone2
72,FixBase,20f4s,3,s6,47.11777138474124,41.13187578074248,zone2
73,FixBase,20f4s,4,s6,18.670103698541283,47.763584758736194,zone2
74,FixBase,20f4s,5,s6,51.53067513253131,4.789813237391256,zone2
75,FixBase,20f4s,1,s7,4.441080515006241,0.11325130397625253,zone3
76,FixBase,20f4s,2,s7,4.919410379846267,0.06335473762503534,zone3
77,FixBase,20f4s,3,s7,10.317250020311228,22.15445230786502,zone3
78,FixBase,20f4s,4,s7,2.385470729992485,18.415165502516235,zone3
79,FixBase,20f4s,5,s7,24.023754775848765,25.51764308683125,zone3
80,FixBase,20f4s,1,s8,16.021206998377487,28.399649975535016,zone3
81,FixBase,20f4s,2,s8,42.832129473487484,14.109839086140008,zone3
82,FixBase,20f4s,3,s8,7.302578357362483,2.5863760631136974,zone3
83,FixBase,20f4s,4,s8,10.646653609319984,36.90750475247625,zone3
84,FixBase,20f4s,5,s8,37.08190647817119,9.609071468013706,zone3
85,FixBase,20f4s,1,s9,18.98467726079627,3.274804695671273,zone3
86,FixBase,20f4s,2,s9,25.07098187062502,59.89001932641376,zone3
87,FixBase,20f4s,3,s9,10.513502857072515,30.810660053898758,zone3
88,FixBase,20f4s,4,s9,5.2373282530537395,13.156908190447526,zone3
89,FixBase,20f4s,5,s9,1.1649809071649997,7.246683670638733,zone3
90,AbsBound,20f2s,1,s1,68.12772249556116,170.1012559576051,zone1
91,AbsBound,20f2s,2,s1,386.4104051664374,266.15068677042757,zone1
92,AbsBound,20f2s,3,s1,301.59598004471246,87.67281703865638,zone1
93,AbsBound,20f2s,4,s1,151.14936078270006,164.40284230086368,zone1
94,AbsBound,20f2s,5,s1,164.74855734514114,24.68440742242488,zone1
95,AbsBound,20f2s,1,s2,136.13525136216,131.25614364469132,zone1
96,AbsBound,20f2s,2,s2,69.78331553891621,82.27161858639381,zone1
97,AbsBound,20f2s,3,s2,79.68205834008752,34.900232202697524,zone1
98,AbsBound,20f2s,4,s2,21.437388695677516,5.000334971332559,zone1
99,AbsBound,20f2s,5,s2,81.98322711159375,54.29839827000376,zone1
100,AbsBound,20f2s,1,s3,206.1309152121187,182.4613581898125,zone1
101,AbsBound,20f2s,2,s3,46.707177010702374,8.870070417412636,zone1
102,AbsBound,20f2s,3,s3,82.93022391237747,77.78443589398123,zone1
103,AbsBound,20f2s,4,s3,20.87493082739994,24.07778003428885,zone1
104,AbsBound,20f2s,5,s3,24.447556185390052,49.5896706537188,zone1
105,AbsBound,20f2s,1,s4,131.09984932618127,96.63435369239615,zone2
106,AbsBound,20f2s,2,s4,173.78366096126254,31.239328478422387,zone2
107,AbsBound,20f2s,3,s4,61.20033023216241,6.7925796356812205,zone2
108,AbsBound,20f2s,4,s4,35.51006053865252,119.87825991366371,zone2
109,AbsBound,20f2s,5,s4,31.04922059169755,1.1552588582963508,zone2
110,AbsBound,20f2s,1,s5,6.468905073858718,3.5870696748450137,zone2
111,AbsBound,20f2s,2,s5,5.748886473288755,22.202490848354966,zone2
112,AbsBound,20f2s,3,s5,16.57953792892123,1.7491178341013,zone2
113,AbsBound,20f2s,4,s5,20.699148918982516,37.33023894595876,zone2
114,AbsBound,20f2s,5,s5,23.363502685256183,23.173262707027515,zone2
115,AbsBound,20f2s,1,s6,7.343563756601223,1.8903368395912294,zone2
116,AbsBound,20f2s,2,s6,18.822238121925036,18.067937725226308,zone2
117,AbsBound,20f2s,3,s6,91.62501152726249,1.8462331553625264,zone2
118,AbsBound,20f2s,4,s6,36.23733637597121,51.41585718652504,zone2
119,AbsBound,20f2s,5,s6,54.57736340895372,79.69261447457991,zone2
120,AbsBound,20f2s,1,s7,15.700911133803732,4.647407846804974,zone3
121,AbsBound,20f2s,2,s7,3.9422160884812327,8.879177857308706,zone3
122,AbsBound,20f2s,3,s7,11.465657963842496,6.645920273527449,zone3
123,AbsBound,20f2s,4,s7,39.83178436798497,52.660896792975045,zone3
124,AbsBound,20f2s,5,s7,5.599194671295019,11.952043507631188,zone3
125,AbsBound,20f2s,1,s8,26.134680882465023,34.001490089295004,zone3
126,AbsBound,20f2s,2,s8,25.04339447647501,17.152103565438725,zone3
127,AbsBound,20f2s,3,s8,14.549207241892477,5.313359715345003,zone3
128,AbsBound,20f2s,4,s8,27.64366870710371,10.10681752308749,zone3
129,AbsBound,20f2s,5,s8,7.372661315973779,8.600491799268767,zone3
130,AbsBound,20f2s,1,s9,25.006031879343762,14.715405204221213,zone3
