,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s5,s10,s15,s20
0,FixBase,20f2s,1,s1,zone1,3.554235635591233,2.3735939750310804,1.4288257240827642,3.0000600261840757,2.365719377267318
1,FixBase,20f2s,2,s1,zone1,4.65442392369745,3.1011571519539114,2.0398568921133777,1.1583253826292579,1.4031060563801137
2,FixBase,20f2s,3,s1,zone1,3.077054618880075,2.098537299335153,2.3539401030646134,2.0689736186621475,2.5985519682421088
3,FixBase,20f2s,4,s1,zone1,4.863609167679115,1.31096796143985,1.4115012982353345,1.6709107097292146,2.129492176879904
4,FixBase,20f2s,5,s1,zone1,9.425483780600796,5.629364591708606,3.324662742910805,3.2673088194766406,7.322415134223289
5,FixBase,20f2s,1,s2,zone1,2.6460773896103094,0.58286811969818,1.842826604121141,1.7698126666180614,0.5583649774031426
6,FixBase,20f2s,2,s2,zone1,1.6705773837129803,0.8924025711662236,1.4932236453038337,0.9355203477008349,0.9545917410719633
7,FixBase,20f2s,3,s2,zone1,0.6307819130224172,1.2849583829006512,1.0175767513174858,0.8034457465590742,0.7386629181843033
8,FixBase,20f2s,4,s2,zone1,0.7055981965822705,0.5251572932641079,1.19059554094184,0.6258811520832699,0.6256174744470145
9,FixBase,20f2s,5,s2,zone1,2.064029574517492,0.8018031380641301,1.952804242769222,0.9611135690977464,1.1982900386603434
10,FixBase,20f2s,1,s3,zone1,2.557904533601243,1.4896835947474425,1.6284720327323599,0.5004727867968634,0.7025644387640589
11,FixBase,20f2s,2,s3,zone1,1.2468550484749812,0.9745986315375575,0.9578149235145789,0.7883644015532056,1.856445620813877
12,FixBase,20f2s,3,s3,zone1,1.2434273023018119,1.057539629876274,1.1374657194135251,1.2380920897502765,1.3258484686158252
13,FixBase,20f2s,4,s3,zone1,2.321865276555544,1.3861800724103344,1.2223070271639103,1.6854312651713312,1.5065350202694696
14,FixBase,20f2s,5,s3,zone1,1.4931528228665818,0.8976994687188575,2.9365924132677774,1.177994197987684,2.2837323164135124
15,FixBase,20f2s,1,s4,zone2,3.3177917915997273,0.6717380629747993,1.4460094332669817,0.8837608323899699,1.3247351062754718
16,FixBase,20f2s,2,s4,zone2,2.3788017312787835,0.7997382253638609,0.6340216313963384,0.3829382058658925,1.210357275412894
17,FixBase,20f2s,3,s4,zone2,2.396065155247168,1.33267194431021,1.4530164182709213,0.679804320427065,1.501457068514029
18,FixBase,20f2s,4,s4,zone2,1.818120437065724,1.1030413081216612,0.7477857232924012,1.1281733401913088,1.3662475095575026
19,FixBase,20f2s,5,s4,zone2,1.8773095677385816,1.646183721277027,1.566607276700233,1.2956438958421699,1.7580550002483706
20,FixBase,20f2s,1,s5,zone2,0.436068356381442,0.5634371872358738,0.7435330937567193,0.8416712971881001,0.4829541301380316
21,FixBase,20f2s,2,s5,zone2,0.9270401786129676,0.6472139155083866,0.9072451211260496,1.0357547831497356,1.7582785431414807
22,FixBase,20f2s,3,s5,zone2,0.9837830922002223,0.4452886205722824,1.2254538560405104,0.698184851313244,1.1350971501121558
23,FixBase,20f2s,4,s5,zone2,1.1027661748923223,0.6684928434631182,0.9394750333793553,0.7727747509022488,1.5415549574389071
24,FixBase,20f2s,5,s5,zone2,2.4097678384945262,0.877933412380593,0.6737708942293791,1.2461393335799678,1.7746357785592295
25,FixBase,20f2s,1,s6,zone2,1.2940150985713137,0.5279766285598233,0.5113636632892197,0.652540095550065,0.8609354592154791
26,FixBase,20f2s,2,s6,zone2,1.1161733789501431,0.5155277708613883,1.091830893972643,0.5047898098397013,0.5789752320040316
27,FixBase,20f2s,3,s6,zone2,1.0129744608824747,0.5032266821243453,0.5931164998625369,0.395393039193411,0.9002773035481616
28,FixBase,20f2s,4,s6,zone2,0.6385471468008701,0.47102637797421254,0.7990022502408684,0.30496489202367333,0.8291451233228757
29,FixBase,20f2s,5,s6,zone2,1.5497105581279718,0.503001600735722,0.5880470612221279,0.7152960613809315,1.3586272153322694
30,FixBase,20f2s,1,s7,zone3,0.7689409195227663,0.34509143971129225,0.6768823190693464,0.6531853298894649,1.0802140597297516
31,FixBase,20f2s,2,s7,zone3,0.5751443957546448,0.5380068230804147,0.7576749759891054,0.2828296478845522,0.6559757849506213
32,FixBase,20f2s,3,s7,zone3,0.7478818732979954,0.41082871251897174,0.19913875550974294,0.25957691667423727,0.4761532529347129
33,FixBase,20f2s,4,s7,zone3,0.745730527331358,0.36714126108132833,1.1300624702206452,0.2876513430451269,0.43268374299608753
34,FixBase,20f2s,5,s7,zone3,1.2783028628709576,0.9787562371955301,0.7071344784650815,0.5948755542361619,0.510538772438035
35,FixBase,20f2s,1,s8,zone3,0.8512410524503681,0.6901423221684911,1.2487715025495822,0.40769349817434886,0.6446107057966114
36,FixBase,20f2s,2,s8,zone3,0.6552144554209515,0.3956433156741369,0.6605191501600366,0.6767055528741197,0.8741731113642707
37,FixBase,20f2s,3,s8,zone3,0.5297772663636395,0.3409832651985448,0.5789647460028567,0.5996374971122587,0.7563341940316028
38,FixBase,20f2s,4,s8,zone3,0.5960309756687318,0.8659488177818178,1.0071751603274732,0.44767354350958816,1.2378604345515214
39,FixBase,20f2s,5,s8,zone3,0.7266923740097697,0.41325416571601137,0.4627321448572614,1.501177341679375,1.709702790846554
40,FixBase,20f2s,1,s9,zone3,1.0108748000950813,0.32115664797663,0.5678088718083264,1.0832488868649193,0.9623716492558447
