,Sim_Type,Nsubs,Iteration,Station,Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,FixBase,20f2s,1,s1,zone1,0.0026000000000000003,0.003171428571428572,0.0035428571428571423,0.004028571428571429,0.00462857142857143,0.0051428571428571435,0.005542857142857143,0.0058,0.00608571428571429,0.006742857142857146,0.0075142857142857155,0.008142857142857151,0.008600000000000003,0.008914285714285715,0.00914285714285715,0.00931428571428572,0.009399999999999997,0.009485714285714287,0.009485714285714287,0.009342857142857144
1,FixBase,20f2s,2,s1,zone1,0.0031142857142857144,0.0037142857142857147,0.004028571428571429,0.004542857142857143,0.005085714285714288,0.005514285714285714,0.005771428571428574,0.0058857142857142875,0.0058857142857142875,0.005857142857142863,0.006314285714285717,0.0068571428571428585,0.00748571428571429,0.008057142857142858,0.008657142857142863,0.009114285714285717,0.00937142857142857,0.009514285714285713,0.009514285714285713,0.00931428571428572
2,FixBase,20f2s,3,s1,zone1,0.006314285714285713,0.008114285714285716,0.009428571428571427,0.011028571428571431,0.012971428571428578,0.014828571428571429,0.01651428571428572,0.018,0.01920000000000001,0.020342857142857156,0.021571428571428592,0.02251428571428574,0.023057142857142887,0.023371428571428567,0.023600000000000003,0.023714285714285736,0.02368571428571428,0.023628571428571426,0.023514285714285727,0.023142857142857194
3,FixBase,20f2s,4,s1,zone1,0.0017428571428571432,0.0020000000000000005,0.002028571428571429,0.002171428571428572,0.0023142857142857153,0.002457142857142856,0.0024857142857142873,0.0024571428571428583,0.002428571428571429,0.0025714285714285717,0.0028857142857142875,0.0032285714285714296,0.0035714285714285726,0.004028571428571429,0.0045428571428571445,0.004971428571428571,0.005257142857142861,0.005399999999999999,0.005428571428571429,0.005314285714285716
4,FixBase,20f2s,5,s1,zone1,0.0041714285714285725,0.0051428571428571435,0.005714285714285715,0.0065714285714285735,0.007628571428571429,0.008571428571428572,0.009371428571428577,0.010028571428571435,0.010542857142857149,0.010914285714285718,0.011485714285714288,0.011914285714285718,0.012228571428571413,0.012685714285714283,0.013028571428571436,0.013200000000000005,0.013228571428571447,0.013257142857142856,0.013200000000000005,0.01302857142857142
5,FixBase,20f2s,1,s2,zone1,0.0014,0.001742857142857143,0.001942857142857143,0.002228571428571429,0.0025428571428571436,0.002800000000000001,0.0029428571428571438,0.0030285714285714304,0.003028571428571432,0.002971428571428573,0.0029142857142857143,0.003314285714285714,0.003657142857142859,0.003942857142857142,0.0041714285714285725,0.004314285714285715,0.004400000000000003,0.004428571428571432,0.0044571428571428574,0.004371428571428574
6,FixBase,20f2s,2,s2,zone1,0.0013142857142857142,0.001657142857142857,0.0018857142857142857,0.0022000000000000006,0.002600000000000001,0.002971428571428573,0.003257142857142857,0.0034857142857142864,0.0036285714285714294,0.003742857142857143,0.003828571428571431,0.003828571428571431,0.003914285714285715,0.004114285714285717,0.004314285714285715,0.004428571428571428,0.004457142857142862,0.0044571428571428574,0.0044571428571428574,0.004371428571428574
7,FixBase,20f2s,3,s2,zone1,0.0010571428571428572,0.0013142857142857144,0.0014571428571428572,0.0017142857142857148,0.0019714285714285723,0.0022571428571428573,0.002514285714285713,0.002742857142857144,0.0029428571428571438,0.0031428571428571456,0.0034000000000000024,0.0036285714285714294,0.0037714285714285723,0.003885714285714286,0.0039714285714285745,0.0040571428571428625,0.004171428571428576,0.0042285714285714305,0.004257142857142856,0.004200000000000005
8,FixBase,20f2s,4,s2,zone1,0.0007142857142857143,0.0007428571428571428,0.0008285714285714285,0.0009428571428571426,0.0010571428571428572,0.0011428571428571434,0.0012285714285714291,0.0013428571428571426,0.0014000000000000004,0.0014857142857142866,0.0016000000000000012,0.0016857142857142863,0.0018285714285714294,0.0019714285714285723,0.002142857142857142,0.002257142857142858,0.002342857142857145,0.0023999999999999994,0.002428571428571429,0.002399999999999997
9,FixBase,20f2s,5,s2,zone1,0.0018285714285714288,0.002142857142857143,0.0022857142857142863,0.0024857142857142864,0.0027142857142857147,0.0028571428571428576,0.0029142857142857143,0.0029142857142857165,0.002885714285714289,0.0029142857142857143,0.0033714285714285712,0.0038857142857142883,0.004314285714285715,0.00465714285714286,0.0049428571428571455,0.005114285714285719,0.005257142857142858,0.005342857142857149,0.005371428571428567,0.005228571428571432
10,FixBase,20f2s,1,s3,zone1,0.0011142857142857144,0.0013428571428571428,0.0015142857142857145,0.0018000000000000006,0.0020857142857142862,0.002371428571428572,0.0026285714285714285,0.003000000000000001,0.0033428571428571435,0.0036857142857142883,0.004028571428571429,0.004342857142857144,0.004542857142857143,0.004685714285714289,0.004800000000000003,0.004857142857142861,0.004857142857142861,0.004857142857142861,0.004828571428571436,0.0047714285714285775
11,FixBase,20f2s,2,s3,zone1,0.0007714285714285715,0.0008857142857142858,0.0009428571428571431,0.0010571428571428572,0.0012000000000000003,0.0013142857142857142,0.0014000000000000004,0.0014857142857142857,0.001571428571428572,0.0017428571428571432,0.0019714285714285706,0.0021142857142857152,0.002228571428571429,0.002285714285714286,0.002371428571428572,0.0024571428571428583,0.0025714285714285735,0.002657142857142858,0.0026857142857142874,0.002657142857142858
12,FixBase,20f2s,3,s3,zone1,0.0009428571428571429,0.0010571428571428572,0.0010857142857142858,0.0011428571428571427,0.0012285714285714291,0.001371428571428572,0.0015428571428571436,0.0016857142857142863,0.001800000000000001,0.0019142857142857156,0.0020571428571428585,0.002171428571428572,0.002342857142857145,0.002600000000000001,0.0028285714285714303,0.003028571428571428,0.0032000000000000006,0.0032857142857142885,0.0032857142857142846,0.0032285714285714296
13,FixBase,20f2s,4,s3,zone1,0.0012857142857142859,0.0015142857142857145,0.0016285714285714293,0.0018000000000000002,0.0019714285714285715,0.0021142857142857144,0.002171428571428572,0.0023142857142857153,0.002428571428571429,0.0025142857142857146,0.0027714285714285714,0.0031428571428571434,0.003485714285714288,0.0037714285714285723,0.004028571428571429,0.0041714285714285725,0.00425714285714286,0.00428571428571429,0.00428571428571429,0.0042285714285714305
14,FixBase,20f2s,5,s3,zone1,0.0014000000000000002,0.0018000000000000004,0.0020857142857142862,0.002428571428571429,0.002800000000000001,0.003171428571428571,0.0034857142857142864,0.0037142857142857155,0.003914285714285715,0.004142857142857147,0.004428571428571428,0.00465714285714286,0.004828571428571429,0.0049428571428571455,0.005057142857142863,0.005142857142857148,0.005228571428571432,0.005257142857142858,0.005257142857142858,0.005200000000000007
15,FixBase,20f2s,1,s4,zone2,0.0011428571428571427,0.0013714285714285716,0.0014571428571428572,0.0016,0.0018857142857142864,0.002171428571428572,0.002400000000000001,0.002600000000000001,0.0027714285714285714,0.0028857142857142875,0.0030000000000000027,0.003171428571428571,0.0032857142857142885,0.0033428571428571435,0.003542857142857143,0.0036857142857142883,0.003828571428571431,0.003914285714285715,0.003942857142857145,0.003828571428571431
16,FixBase,20f2s,2,s4,zone2,0.0014857142857142857,0.0018285714285714285,0.0020000000000000005,0.0022571428571428573,0.0025428571428571436,0.002742857142857144,0.0029142857142857143,0.0030571428571428572,0.003171428571428573,0.003257142857142859,0.0034000000000000024,0.003542857142857143,0.003914285714285715,0.0042000000000000015,0.0044571428571428574,0.00462857142857143,0.0047428571428571485,0.004828571428571429,0.004828571428571436,0.00477142857142857
17,FixBase,20f2s,3,s4,zone2,0.0009428571428571429,0.0011142857142857141,0.0011714285714285717,0.0012857142857142859,0.0014285714285714288,0.0014857142857142866,0.0014857142857142866,0.001657142857142858,0.0018285714285714294,0.0019714285714285723,0.0021428571428571447,0.0023142857142857153,0.0025428571428571444,0.002742857142857144,0.0028857142857142875,0.0030000000000000027,0.0030571428571428572,0.003114285714285716,0.0031428571428571417,0.003085714285714287
18,FixBase,20f2s,4,s4,zone2,0.0013714285714285716,0.001742857142857143,0.0019714285714285715,0.002285714285714286,0.002657142857142858,0.003028571428571428,0.003371428571428573,0.0036857142857142883,0.0039714285714285745,0.0042285714285714305,0.0044571428571428574,0.004742857142857144,0.005,0.005171428571428573,0.005314285714285716,0.005371428571428575,0.005428571428571434,0.0054857142857142925,0.005514285714285718,0.005428571428571434
19,FixBase,20f2s,5,s4,zone2,0.0015714285714285713,0.0018285714285714285,0.0020000000000000005,0.0022571428571428564,0.0025142857142857146,0.0026285714285714285,0.002685714285714285,0.0026285714285714306,0.002685714285714285,0.0028857142857142875,0.0032000000000000006,0.0038285714285714294,0.004314285714285715,0.004685714285714287,0.00502857142857143,0.005314285714285716,0.005485714285714288,0.005600000000000002,0.005600000000000002,0.005457142857142859
20,FixBase,20f2s,1,s5,zone2,0.0006857142857142858,0.0007714285714285715,0.0008571428571428574,0.0009999999999999998,0.0011428571428571427,0.0012285714285714291,0.0012857142857142859,0.0012857142857142859,0.0012285714285714291,0.0012857142857142859,0.0014571428571428576,0.0017142857142857148,0.0019142857142857156,0.0020571428571428585,0.0022000000000000014,0.002257142857142858,0.002285714285714288,0.0023142857142857153,0.0023428571428571465,0.002314285714285717
21,FixBase,20f2s,2,s5,zone2,0.0009714285714285714,0.0012000000000000003,0.0012857142857142859,0.0014571428571428576,0.001657142857142858,0.0017714285714285716,0.0018571428571428578,0.0018857142857142864,0.0018571428571428567,0.0018285714285714294,0.0018857142857142864,0.002142857142857144,0.002371428571428572,0.0025714285714285717,0.0027142857142857147,0.0028285714285714303,0.0029142857142857143,0.0029428571428571438,0.0029714285714285693,0.0029142857142857143
22,FixBase,20f2s,3,s5,zone2,0.0007142857142857143,0.0008571428571428571,0.0009142857142857144,0.0010285714285714288,0.0012285714285714291,0.0014000000000000004,0.001571428571428572,0.0017142857142857148,0.0018285714285714294,0.001942857142857143,0.0020571428571428585,0.0021428571428571447,0.0022285714285714313,0.002285714285714288,0.002314285714285717,0.0023428571428571465,0.0023428571428571465,0.0023428571428571426,0.002371428571428572,0.0023428571428571426
23,FixBase,20f2s,4,s5,zone2,0.0006571428571428571,0.0007428571428571429,0.0007714285714285717,0.0008285714285714287,0.0008857142857142858,0.0009428571428571431,0.000971428571428572,0.0009714285714285714,0.0009714285714285714,0.0010000000000000002,0.0011714285714285713,0.0013142857142857147,0.0014571428571428572,0.0016,0.0017142857142857148,0.0018285714285714294,0.0019142857142857136,0.001942857142857143,0.001942857142857143,0.001942857142857143
24,FixBase,20f2s,5,s5,zone2,0.0010285714285714286,0.0012000000000000003,0.0012285714285714287,0.0013142857142857147,0.0014285714285714288,0.001514285714285715,0.0016,0.0016857142857142854,0.0018285714285714294,0.001942857142857143,0.0020857142857142862,0.002257142857142858,0.0024571428571428583,0.002657142857142858,0.0028571428571428576,0.0030000000000000027,0.003114285714285716,0.0032000000000000006,0.0032857142857142885,0.003257142857142859
25,FixBase,20f2s,1,s6,zone2,0.0007428571428571429,0.0009142857142857143,0.001,0.0011714285714285717,0.0013428571428571433,0.0014857142857142857,0.0016,0.0016857142857142863,0.0017428571428571432,0.0017714285714285727,0.0018571428571428586,0.001942857142857144,0.0020857142857142862,0.002228571428571429,0.002400000000000001,0.0025428571428571444,0.002657142857142858,0.0027142857142857125,0.002742857142857142,0.0027142857142857125
26,FixBase,20f2s,2,s6,zone2,0.0007428571428571429,0.0008857142857142858,0.0009714285714285714,0.0010571428571428572,0.0011714285714285717,0.0012857142857142865,0.0014000000000000004,0.0015428571428571436,0.001657142857142858,0.0017428571428571432,0.0018571428571428586,0.001942857142857143,0.0020000000000000018,0.002085714285714284,0.002171428571428572,0.002257142857142858,0.0023428571428571426,0.002371428571428572,0.002371428571428572,0.002371428571428572
27,FixBase,20f2s,3,s6,zone2,0.0006,0.0006571428571428571,0.0006571428571428573,0.0006857142857142858,0.0007142857142857144,0.0007714285714285717,0.000828571428571429,0.0008857142857142863,0.000971428571428572,0.0010571428571428576,0.0011714285714285713,0.0012571428571428564,0.0012857142857142859,0.0013714285714285716,0.001514285714285714,0.0016285714285714287,0.0016857142857142854,0.0016857142857142863,0.0017428571428571432,0.001714285714285716
28,FixBase,20f2s,4,s6,zone2,0.0005714285714285714,0.0006571428571428572,0.0006857142857142858,0.0007428571428571431,0.0008,0.0008571428571428574,0.0009142857142857147,0.000971428571428572,0.0010571428571428576,0.0011142857142857144,0.0013142857142857144,0.0015714285714285713,0.0017428571428571432,0.0018571428571428567,0.0019142857142857156,0.0019714285714285723,0.002028571428571429,0.0020857142857142862,0.0020857142857142862,0.0020571428571428568
29,FixBase,20f2s,5,s6,zone2,0.0008571428571428571,0.000942857142857143,0.0009428571428571431,0.0010285714285714288,0.0011714285714285717,0.0012571428571428573,0.001314285714285715,0.001371428571428572,0.0014000000000000004,0.0014857142857142866,0.0016,0.001714285714285716,0.0018571428571428578,0.0020857142857142862,0.0022857142857142868,0.0024571428571428583,0.0025714285714285717,0.0026285714285714285,0.0026857142857142874,0.002657142857142858
30,FixBase,20f2s,1,s7,zone3,0.0007714285714285715,0.0009428571428571429,0.0010285714285714288,0.0011714285714285717,0.0013142857142857147,0.0014285714285714288,0.0016,0.001742857142857144,0.0018857142857142872,0.002028571428571429,0.002171428571428572,0.002342857142857145,0.0025142857142857146,0.0026857142857142874,0.0028285714285714286,0.0029142857142857143,0.002971428571428573,0.0029999999999999988,0.0030000000000000027,0.002971428571428573
