,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
0,AbsBound,20f2s,s1,3.891575251213242,3.698827176970981,3.4715058342694958,3.944151155417207,5.1820602468020605
1,AbsBound,20f2s,s2,1.5986864272915338,1.155964083828763,1.258743371961288,1.3134088998414262,2.4572580148550083
2,AbsBound,20f2s,s3,1.7197972945560405,1.5673423864867888,1.9236798983114571,2.0608831973935877,2.4187176187429937
3,AbsBound,20f2s,s4,2.3165564025082435,2.220811994872773,2.2258761350222507,2.614071971862655,2.9469527702117064
4,AbsBound,20f2s,s5,1.0677421913458225,0.9431698174020813,1.0519568097686305,1.0588133417588437,1.485448485284775
5,AbsBound,20f2s,s6,1.5009098193835444,1.2022602417776227,1.222286737678234,1.517636081684749,1.9931054411511553
6,AbsBound,20f2s,s7,0.7750097280851767,0.7320245002640869,1.014755197188937,0.9387371238574733,1.135181227742716
7,AbsBound,20f2s,s8,0.9277665639513432,0.5885923169486309,0.9505458620822704,1.0188650460634179,1.4534357987289899
8,AbsBound,20f2s,s9,0.9843545537820404,0.9465257766972875,0.9269410480611062,1.0869014709495235,1.4293173931136685
9,AbsBound,20f4s,s1,3.6699075011441864,4.572447434419054,4.028622288686302,4.157555117508927,6.827426443789294
10,AbsBound,20f4s,s2,1.83155821674627,1.148798853329684,2.1018732106727214,1.413321197824213,3.5390554733477644
11,AbsBound,20f4s,s3,2.124105687538988,1.7460669505476272,2.261115632945549,2.2497592417325394,3.096425353733308
12,AbsBound,20f4s,s4,2.5112187865931377,2.195580227187758,2.6142829231498497,2.8372015288702253,3.571547445347805
13,AbsBound,20f4s,s5,1.3709447053479416,1.069091327270177,1.4992508751667297,1.3034947471434841,2.4192199744854173
14,AbsBound,20f4s,s6,1.578979807255432,1.2112169245379405,1.4858771975673353,1.6350557014630476,2.5301514968555545
15,AbsBound,20f4s,s7,0.7676473071250876,0.833308165026733,1.4639333487125916,0.9955615948128897,1.6076026509720953
16,AbsBound,20f4s,s8,1.1167980208974186,0.8485298341292073,1.4858085043645743,1.1352242986688657,1.9524317990730709
17,AbsBound,20f4s,s9,0.9485413252964314,1.1854753452542892,0.9526864292770186,1.2399816081571646,1.8513804903856361
18,DRM,20f2s,s1,4.155294161943967,5.026799536197141,3.5193895038758356,4.6469697591457875,7.057357596778158
19,DRM,20f2s,s2,1.7521074949243314,1.5302707115079976,1.6835809784915767,1.9034059125831237,3.2798443558138657
20,DRM,20f2s,s3,1.7577776520580979,2.6066050074941463,2.6632871217236485,2.4314602948564037,3.8559822344212713
21,DRM,20f2s,s4,2.6648169230190235,2.5080605603244006,2.1815858752181674,2.458080577527017,4.498362599569293
22,DRM,20f2s,s5,1.1404950591516905,1.6103174462090604,1.4459537212331313,1.3763168885674542,2.0879464501385376
23,DRM,20f2s,s6,1.4399298018868691,1.5094711486972596,1.37371555126967,1.8074693957367576,2.9257301407267553
24,DRM,20f2s,s7,1.1106653285945498,1.3961372261154785,1.455539574999042,1.1017444024897507,1.9847912277815047
25,DRM,20f2s,s8,1.0988598441765784,1.541472948306248,1.3600303917211019,1.4663095472789434,2.0792243103220747
26,DRM,20f2s,s9,1.093453134198547,1.2045176214739999,1.330250822291236,1.5621917140318051,1.793495047025726
27,DRM,20f4s,s1,4.840646819890783,5.037416487786491,3.5080566972468423,4.519004868400261,7.248577066510838
28,DRM,20f4s,s2,1.765929676046128,1.6669545674396047,1.8644159481329008,2.0617591357822307,3.829249532126512
29,DRM,20f4s,s3,2.107288368109296,2.632473432779507,3.0993119776116127,2.635677091718117,4.1186431248753745
30,DRM,20f4s,s4,3.211311641134594,2.015787465220699,2.265229517862183,2.5317909198242097,5.084176651547506
31,DRM,20f4s,s5,1.29825348944508,1.3834164882719602,1.6506429758285104,1.423687467544253,2.340005767668483
32,DRM,20f4s,s6,1.7202822146491492,1.5881415250529685,1.5832795277916216,1.9852152139582866,3.2351966423219336
33,DRM,20f4s,s7,1.336570992003852,1.2639500250600433,1.6040742502864886,1.2400611620747781,2.3326644592794716
34,DRM,20f4s,s8,1.333999130301418,1.4723403983323855,1.5952171126089179,1.4689374483490159,2.2239787086479117
35,DRM,20f4s,s9,1.17206300655296,1.1247073275246138,1.3875656105672554,1.5538298375477484,1.9980330332309237
36,FixBase,20f2s,s1,3.336667679944417,4.30480304442851,3.5888992967705575,2.481061680297485,5.013899123814049
37,FixBase,20f2s,s2,1.5262191189438439,1.9424238543596093,2.5270873345445177,1.2379586037642754,3.065347398449172
38,FixBase,20f2s,s3,1.967479518432895,2.666739154027482,2.956887216144177,1.3384218591296095,3.1459361125457854
39,FixBase,20f2s,s4,1.7782385461658226,2.196923236977911,2.072434449555985,1.3521057517209916,3.1201435516598126
40,FixBase,20f2s,s5,0.8863745337729878,1.3086733328193751,2.220927740268226,1.0548812049387761,2.362312462072
