Story,CM x,CM y,Max x,Max y
1,0.00075,0.00065,0.0007714285714285715,0.0006571428571428571
2,0.000742857142857143,0.0007285714285714286,0.0007714285714285716,0.000742857142857143
3,0.000742857142857143,0.0007642857142857141,0.0007714285714285715,0.0007714285714285717
4,0.0008428571428571428,0.0008285714285714285,0.0008571428571428574,0.0008285714285714285
5,0.001,0.0008928571428571429,0.0010000000000000002,0.0009142857142857147
6,0.0010785714285714287,0.0009428571428571431,0.0010857142857142862,0.0009428571428571431
7,0.0011428571428571427,0.0010357142857142859,0.0011428571428571427,0.0010571428571428576
8,0.0011928571428571426,0.0011428571428571427,0.0012000000000000008,0.0011428571428571427
9,0.0012285714285714291,0.0012285714285714283,0.0012285714285714291,0.0012285714285714291
10,0.001257142857142858,0.001292857142857143,0.0012571428571428584,0.0013142857142857142
11,0.0013071428571428583,0.0013642857142857137,0.0013142857142857162,0.001371428571428572
12,0.0013928571428571436,0.0013714285714285714,0.0014000000000000004,0.001371428571428573
13,0.0014571428571428572,0.0014357142857142858,0.0014571428571428572,0.0014571428571428572
14,0.0015000000000000013,0.0015000000000000013,0.001514285714285716,0.001514285714285716
15,0.001557142857142858,0.001557142857142858,0.0015714285714285728,0.0015714285714285728
16,0.001557142857142858,0.0015857142857142864,0.0015714285714285728,0.0016
17,0.0015499999999999989,0.0016,0.0015714285714285728,0.0016
18,0.001557142857142858,0.0016,0.0015714285714285728,0.001600000000000002
19,0.0015285714285714308,0.0016000000000000003,0.0015428571428571436,0.0016285714285714278
20,0.0014857142857142886,0.0015714285714285728,0.0014857142857142886,0.001600000000000002
