Story,CM x,CM y,Max x,Max y
1,0.0007642857418468996,0.0007558441424103254,0.0009357143271530734,0.0008103895981812581
2,0.0007410714069291807,0.0008126623269497317,0.0007656249789450858,0.0008366882970189849
3,0.0007308035485258707,0.0008220779127070491,0.0007370535518833421,0.0008435064836470622
4,0.0008348213964761541,0.0008954545417904764,0.0008435267541951811,0.0009097402559595031
5,0.0009879463872896129,0.0010025973980051684,0.0009879463872896129,0.0010262986988996306
6,0.001076116016738726,0.0011025973970479595,0.001099107087901439,0.0011120129841967177
7,0.001154687437213772,0.0011762986981476257,0.0011578124413859612,0.0011977272694608657
8,0.0011959820731708452,0.0012120129836677652,0.0012118302881114307,0.0012262986978746648
9,0.0012189731444459638,0.001207467522469485,0.0012404017134495628,0.0012240259671906478
10,0.0012511161882505985,0.0014142857142859654,0.0012796876223702745,0.0014308441604898071
11,0.0013629465756184293,0.0016594155906663125,0.0013716519372695872,0.0016879870194540915
12,0.0014986608931390026,0.001857142857142951,0.0015145091145045576,0.0018594155922639834
13,0.0016002234225291983,0.0019857142857142764,0.0016049109345310417,0.001999999999999943
14,0.0016962055999449692,0.0020571428571431894,0.0017176341777049885,0.0020571428571431894
15,0.0017977681352888725,0.00210974023946479,0.0018049109946912092,0.002114285714285694
16,0.0018549110108783383,0.0021431817867636495,0.0018620538703547423,0.002164610357562846
17,0.0018707592353192659,0.0021814934521315944,0.0018921878139849654,0.002190909047091213
18,0.00190491102750883,0.002217207736057868,0.0019207592523566264,0.0022480519019233212
19,0.0018636163758015997,0.002219480474507267,0.0018921878139849654,0.0022766233293171653
20,0.0018064734998107328,0.0021766233333570003,0.0018350449376933673,0.0022480519019233212
