Story,CM x,CM y,Max x,Max y
1,0.0011680803719285823,0.0015470779490781978,0.0011839285887645806,0.0015587662720270173
2,0.001112500015299293,0.0017873377127083732,0.0011267857299799534,0.0017873377127083732
3,0.001062500013952203,0.0018493506956467841,0.0010982143006186328,0.0018707792681565238
4,0.0011712053762040838,0.002015909155051611,0.0011854910909576601,0.002015909155051611
5,0.0013553571656076166,0.0022064935724757655,0.0013569196684812804,0.002215909168466218
6,0.0014069196704170161,0.0023730520370447974,0.0014140625278397444,0.0023873377524056758
7,0.0014140625278397444,0.0024730520447257213,0.0014156250309671384,0.0024753247859101812
8,0.0014140625278397444,0.0025516234795607564,0.0014156250309671384,0.0025610390794451716
9,0.0014915179318519712,0.0025873377681833757,0.0015008929528248591,0.002589610510682813
10,0.0016651786895589616,0.0025801949104575428,0.0016738840520951607,0.002589610510682813
11,0.0018366072869228996,0.0026775975481266095,0.0018453126505084808,0.00267987029170654
12,0.0020524555438179767,0.002961039119473485,0.0020738841192023973,0.0029633118666876506
13,0.0022095984309862086,0.0032681820113041773,0.002216741289540084,0.0032753248692916534
14,0.0023294645186610306,0.003523052144624935,0.00233102702714242,0.003539286025237313
15,0.002463616323103298,0.0037535717784629983,0.0024738842008094164,0.003767857495420845
16,0.002508035984690084,0.003925000382692633,0.002529464560793841,0.003939286099772878
17,0.0025167413532793097,0.004046428978242895,0.002531027070794134,0.004053571836823885
18,0.0025580359956700062,0.00411071470559452,0.00255959850589749,0.00411071470559452
19,0.0025024556357644855,0.004103571846993077,0.002531027070794134,0.00411071470559452
20,0.002423884189822553,0.004017857543949599,0.002445312765928022,0.004053571836823885
