Story,CM x,CM y,Max x,Max y
1,0.0013620528266380548,0.0019191580598097889,0.002691514848653905,0.003397732959296346
2,0.0014678577554943317,0.0023194829034999076,0.0016421883713862437,0.0025977303781954827
3,0.0018781260668701825,0.0025146132574427023,0.0019495547298469542,0.0026240291436489174
4,0.0019162957472563188,0.002674029283992488,0.0019464297184316954,0.0027097436712019713
5,0.0020859388686501786,0.002824029721550358,0.0021033496171445377,0.002852601236567802
6,0.0022232158673926587,0.0029097442695193553,0.0022446444724855707,0.0029383157874530537
7,0.0023446446353837204,0.0029620171732651383,0.0023604928819475467,0.002997731573109314
8,0.0024232161973019653,0.0029902640531594316,0.0024446448058743483,0.0030090953078413065
9,0.0025033502735146277,0.0030090953078413065,0.00250491278307502,0.0030090953078413065
10,0.002554912874330108,0.00303571872229205,0.002562055744600511,0.003057147364251185
11,0.0025890647160776935,0.0031759789634243744,0.002590627226320316,0.003206823241310832
12,0.0026446451702630985,0.0033064989703624906,0.0026477701916723492,0.0033279276208666203
13,0.0026598237392332384,0.0034204604877272116,0.0026732166534207155,0.0034204604877272116
14,0.002696430918978348,0.0035347466514581735,0.0027209845533577234,0.003563318194606803
15,0.0027781275211506687,0.003663318604617407,0.002779690032992601,0.0036821498926790167
16,0.002803573981826246,0.0037633190272904327,0.0028082615180644436,0.0037918905782896454
17,0.0027995561347675065,0.00381331924293206,0.002806699005973119,0.0038490336843404536
18,0.0028321454667622706,0.0038464363161666575,0.002835270491412613,0.003882150760092475
19,0.002796431110745225,0.0038250076502703207,0.002806699005973119,0.00385357920454378
20,0.002732145272240548,0.0037561761394139946,0.0027495560369456902,0.0037918905782896454
