,Sim_Type,Nsubs,Station,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0,AbsBound,20f2s,s1,0.0015539733237571161,0.001554910827265933,0.0015888840451490573,0.0017949108649925054,0.0021275895025447923,0.0023037948944480387,0.0024301342136305677,0.0025240628161017483,0.00262629498403777,0.0027081700162058567,0.0027650003861773784,0.0029348664948034586,0.0030596433045222216,0.0031453576180436094,0.0032605808753069484,0.0033002683853926656,0.003305982673865998,0.003348884440162473,0.0032879023016596245,0.003200937972371277
1,AbsBound,20f2s,s2,0.0006333928640752105,0.0006235267932005546,0.0006355803653743453,0.0007209821536331035,0.0008584375156753902,0.0009384375190968762,0.0009962053797246636,0.0010250893105853455,0.0010879464564220172,0.0011501786019538292,0.0012139732490010818,0.0012714286099817658,0.0013225446829330909,0.0013571428997933154,0.001407946473487866,0.001418750044046723,0.0014235268280378417,0.0014358929008096517,0.0014019196855330524,0.0013784375410068842
2,AbsBound,20f2s,s3,0.00065946429334457,0.0006312053647348455,0.000632767865323516,0.0006911607247845002,0.0008222767999883848,0.0008965625170003824,0.000947991090543157,0.0009838393083139308,0.0010362053836915626,0.001093660744145437,0.001161294675276555,0.0012470089645940335,0.0013155803960378197,0.0013784375417484514,0.0014403571857582425,0.0014632143295281543,0.001468928615030832,0.0015007143232647435,0.001457187542319094,0.0014229018260346633
3,AbsBound,20f2s,s4,0.0007130803664934731,0.0007022767950654448,0.00069750000978626,0.0007825892970566805,0.0009263839461770446,0.0009898660919506034,0.0010412946655745515,0.0010762053817308776,0.0011111160987647604,0.0011514286014969288,0.0012037946773765054,0.0013003125392826774,0.0013622321848950076,0.0014193750452936849,0.0014762054051114355,0.0014990625494724272,0.0015104911212370546,0.0015276339796239636,0.0015044643340087122,0.0014650893330546999
4,AbsBound,20f2s,s5,0.00047857143113938386,0.00046205357393165196,0.00045790178844845944,0.0005144196461233499,0.0006007589332694779,0.0006464732197313221,0.0006807589345542767,0.0006928125066347448,0.0007207589353855593,0.000755982151068376,0.0008013839377799689,0.0008528125105359229,0.0008759821545895015,0.0009153571554605864,0.0009553571562130609,0.0009715625132801365,0.000989330371919353,0.000995044657732521,0.0009667857285786425,0.0009550446565228128
5,AbsBound,20f2s,s6,0.0004642410742850932,0.0004645535743550926,0.00047058036020919083,0.0005280357182285086,0.0006204017914592096,0.0006889732213994348,0.0007350000082957653,0.0007750000092009263,0.0008035714384508076,0.0008318303675854995,0.0008661160827534894,0.0009000892976830051,0.0009112053691506814,0.0009391517978676843,0.0009734375129186445,0.0009845535846092443,0.0009845535847417505,0.000996294656713408,0.00098424108436332,0.0009616964410830133
6,AbsBound,20f2s,s7,0.0003887053589683426,0.00038361607328975017,0.00039473214478884884,0.00044647321684152615,0.0005379017894483508,0.0005947321473484502,0.0006293303622679333,0.0006582142914295732,0.000686785720546326,0.000720758935255091,0.0007436160785531373,0.0007721875076591066,0.00078392857953012,0.0008121875083935484,0.000839821436790068,0.0008515625086323135,0.0008572767944311875,0.0008629910802764567,0.0008401339370131353,0.0008287053653021319
7,AbsBound,20f2s,s8,0.000376026787221903,0.00036522321578138226,0.00035982143009486784,0.0004163392876523911,0.00048584821722448405,0.0005312500033921872,0.0005712500038978444,0.0006061607189313682,0.0006404464337675464,0.0006747321486373027,0.0007033035776848295,0.0007375892926081852,0.0007544196499335778,0.0007775892933707018,0.0008058482223375164,0.0008109375078405293,0.0008115625081334038,0.0008283928654294583,0.0008001339365003591,0.0007883928646542082
8,AbsBound,20f2s,s9,0.00031066964372211345,0.0003004910723398794,0.0003004910723398794,0.0003462053583597769,0.00040906250171173625,0.00044875000197482225,0.00047191964515445856,0.0004893750026170034,0.000517008931223815,0.0005516071459975073,0.0005804910750778575,0.0006033482182531669,0.0006262053614356233,0.0006430357187629506,0.0006604910762738937,0.0006658928619683464,0.0006719196476965758,0.0006722321481345741,0.0006662053620059334,0.000660178576222876
9,AbsBound,20f4s,s1,0.003397724254794407,0.003306295625658661,0.0032304473503253356,0.0035679029179201973,0.0041462961938474084,0.004460894656542994,0.00471232343194701,0.0048796004041710235,0.00507339556876475,0.005320182028723227,0.005561432468918425,0.005859200861612087,0.00603022810183255,0.006175049754460102,0.0063915679246738565,0.006469380458548855,0.006464291178851815,0.006532862726335058,0.006418576821408272,0.006223978262504997
