,Sim_Type,Nsubs,Iteration,Station,Mean_Drift_X,Mean_Drift_Y,Zone
0,FixBase,20f2s,1,s1,0.006255714285714288,0.006831428571428574,zone1
1,FixBase,20f2s,2,s1,0.006572857142857146,0.006680000000000003,zone1
2,FixBase,20f2s,3,s1,0.005082857142857145,0.018427142857142864,zone1
3,FixBase,20f2s,4,s1,0.003114285714285716,0.0033642857142857155,zone1
4,FixBase,20f2s,5,s1,0.006365714285714287,0.010295714285714288,zone1
5,FixBase,20f2s,1,s2,0.0018314285714285717,0.003230000000000001,zone1
6,FixBase,20f2s,2,s2,0.002291428571428572,0.003445714285714286,zone1
7,FixBase,20f2s,3,s2,0.0033314285714285733,0.0030342857142857155,zone1
8,FixBase,20f2s,4,s2,0.0019328571428571441,0.0015971428571428573,zone1
9,FixBase,20f2s,5,s2,0.002367142857142858,0.003671428571428573,zone1
10,FixBase,20f2s,1,s3,0.00349857142857143,0.0034728571428571447,zone1
11,FixBase,20f2s,2,s3,0.0021885714285714295,0.0018185714285714287,zone1
12,FixBase,20f2s,3,s3,0.0018728571428571438,0.0020900000000000007,zone1
13,FixBase,20f2s,4,s3,0.0015857142857142862,0.0029085714285714296,zone1
14,FixBase,20f2s,5,s3,0.002237142857142858,0.003947142857142859,zone1
15,FixBase,20f2s,1,s4,0.0017528571428571435,0.0027914285714285727,zone2
16,FixBase,20f2s,2,s4,0.002840000000000002,0.0034285714285714293,zone2
17,FixBase,20f2s,3,s4,0.0019142857142857152,0.0021200000000000012,zone2
18,FixBase,20f2s,4,s4,0.0031328571428571443,0.004011428571428574,zone2
19,FixBase,20f2s,5,s4,0.002217142857142858,0.003610000000000001,zone2
20,FixBase,20f2s,1,s5,0.0012457142857142862,0.0015814285714285722,zone2
21,FixBase,20f2s,2,s5,0.0011871428571428575,0.0021014285714285722,zone2
22,FixBase,20f2s,3,s5,0.0021214285714285723,0.0017985714285714295,zone2
23,FixBase,20f2s,4,s5,0.001347142857142858,0.0012785714285714286,zone2
