,Sim_Type,Nsubs,Iteration,Station,MaxShearX
110,AbsBound,20f2s,1,s5,16473.672007234614
111,AbsBound,20f2s,2,s5,13023.86002929519
112,AbsBound,20f2s,3,s5,12112.002766090385
113,AbsBound,20f2s,4,s5,11908.771944550963
114,AbsBound,20f2s,5,s5,23280.86853406731
115,AbsBound,20f2s,1,s6,17010.10488175961
116,AbsBound,20f2s,2,s6,16168.46911514135
117,AbsBound,20f2s,3,s6,13667.662906485577
118,AbsBound,20f2s,4,s6,15583.593662160576
119,AbsBound,20f2s,5,s6,21829.540590951932
120,AbsBound,20f2s,1,s7,11716.421927979809
121,AbsBound,20f2s,2,s7,14402.113851054804
122,AbsBound,20f2s,3,s7,10440.006203120189
123,AbsBound,20f2s,4,s7,10491.978403064422
124,AbsBound,20f2s,5,s7,18333.903581705767
125,AbsBound,20f2s,1,s8,14575.300756381726
126,AbsBound,20f2s,2,s8,14794.502879535581
127,AbsBound,20f2s,3,s8,12958.428748898079
128,AbsBound,20f2s,4,s8,11402.930326828846
129,AbsBound,20f2s,5,s8,18571.823138284617
130,AbsBound,20f2s,1,s9,10547.044257487498
131,AbsBound,20f2s,2,s9,14807.052652309618
132,AbsBound,20f2s,3,s9,8677.978651021154
133,AbsBound,20f2s,4,s9,10250.709912103848
134,AbsBound,20f2s,5,s9,18349.652599191348
135,AbsBound,20f4s,1,s1,68335.71611856345
136,AbsBound,20f4s,2,s1,78012.84479709805
137,AbsBound,20f4s,3,s1,67071.47756603942
138,AbsBound,20f4s,4,s1,64898.63572313076
139,AbsBound,20f4s,5,s1,147628.6427351423
140,AbsBound,20f4s,1,s2,32318.368292749026
141,AbsBound,20f4s,2,s2,35263.72884884134
142,AbsBound,20f4s,3,s2,32303.99035237499
143,AbsBound,20f4s,4,s2,29741.257135006734
144,AbsBound,20f4s,5,s2,53877.74906931635
145,AbsBound,20f4s,1,s3,49163.55185676056
146,AbsBound,20f4s,2,s3,46085.35976965674
147,AbsBound,20f4s,3,s3,34009.529977352875
148,AbsBound,20f4s,4,s3,45842.03468635096
149,AbsBound,20f4s,5,s3,65172.193758975
150,AbsBound,20f4s,1,s4,39060.20954331922
151,AbsBound,20f4s,2,s4,50239.77686921248
152,AbsBound,20f4s,3,s4,47787.21831514613
153,AbsBound,20f4s,4,s4,56393.53170396634
154,AbsBound,20f4s,5,s4,68571.01899613268
155,AbsBound,20f4s,1,s5,21173.588473436535
156,AbsBound,20f4s,2,s5,19474.596637220187
157,AbsBound,20f4s,3,s5,16632.61686788077
158,AbsBound,20f4s,4,s5,16979.626274163456
159,AbsBound,20f4s,5,s5,32372.94611138076
160,AbsBound,20f4s,1,s6,24943.975051575
161,AbsBound,20f4s,2,s6,23711.801971205765
162,AbsBound,20f4s,3,s6,21643.079798186533
163,AbsBound,20f4s,4,s6,19987.529499083652
164,AbsBound,20f4s,5,s6,31504.359600654803
165,AbsBound,20f4s,1,s7,15614.823971578846
166,AbsBound,20f4s,2,s7,20893.353339343263
167,AbsBound,20f4s,3,s7,15082.960689793264
168,AbsBound,20f4s,4,s7,15475.565931931733
169,AbsBound,20f4s,5,s7,25561.905840075
170,AbsBound,20f4s,1,s8,22537.88863985192
171,AbsBound,20f4s,2,s8,20119.695074356725
172,AbsBound,20f4s,3,s8,16660.057741453846
173,AbsBound,20f4s,4,s8,15583.661980275
174,AbsBound,20f4s,5,s8,28394.49773368269
175,AbsBound,20f4s,1,s9,18129.44233789327
176,AbsBound,20f4s,2,s9,20535.046921049994
177,AbsBound,20f4s,3,s9,12374.593820601925
178,AbsBound,20f4s,4,s9,15824.139596682691
179,AbsBound,20f4s,5,s9,26463.97927485289
180,DRM,20f2s,1,s1,57325.65312676153
181,DRM,20f2s,2,s1,60395.51595572308
182,DRM,20f2s,3,s1,46078.28719740865
183,DRM,20f2s,4,s1,52331.06614674808
184,DRM,20f2s,5,s1,111729.76199646923
185,DRM,20f2s,1,s2,23795.73889359231
186,DRM,20f2s,2,s2,25431.333970300962
187,DRM,20f2s,3,s2,25813.685297743268
188,DRM,20f2s,4,s2,24482.621700969234
189,DRM,20f2s,5,s2,41305.558887337495
190,DRM,20f2s,1,s3,37385.40665606539
191,DRM,20f2s,2,s3,33854.91387662596
192,DRM,20f2s,3,s3,28262.769821359616
193,DRM,20f2s,4,s3,34088.965786583656
194,DRM,20f2s,5,s3,50889.26373471346
195,DRM,20f2s,1,s4,30828.422921573085
196,DRM,20f2s,2,s4,39950.700096305765
197,DRM,20f2s,3,s4,41416.732669231744
198,DRM,20f2s,4,s4,45776.452224842295
199,DRM,20f2s,5,s4,46914.88022815673
200,DRM,20f2s,1,s5,17847.031861021154
201,DRM,20f2s,2,s5,16231.732252199998
202,DRM,20f2s,3,s5,14209.213859221152
203,DRM,20f2s,4,s5,13328.470914239422
204,DRM,20f2s,5,s5,26840.27500823078
205,DRM,20f2s,1,s6,18052.80150181154
206,DRM,20f2s,2,s6,18578.909749551924
207,DRM,20f2s,3,s6,16285.510633759613
208,DRM,20f2s,4,s6,16297.3186689375
209,DRM,20f2s,5,s6,23776.69771205481
210,DRM,20f2s,1,s7,11613.223659937501
211,DRM,20f2s,2,s7,14669.972458745191
212,DRM,20f2s,3,s7,12036.875452883654
213,DRM,20f2s,4,s7,12818.564168867308
214,DRM,20f2s,5,s7,18714.907951606732
215,DRM,20f2s,1,s8,16780.274935546153
216,DRM,20f2s,2,s8,16281.214009883646
217,DRM,20f2s,3,s8,15006.233372495191
218,DRM,20f2s,4,s8,13462.498750422114
219,DRM,20f2s,5,s8,20308.403628069238
220,DRM,20f2s,1,s9,12484.08444503942
221,DRM,20f2s,2,s9,16335.093494604813
222,DRM,20f2s,3,s9,9932.246842145192
223,DRM,20f2s,4,s9,13118.780370288458
224,DRM,20f2s,5,s9,19283.862689697115
225,DRM,20f4s,1,s1,83337.61376770673
226,DRM,20f4s,2,s1,89740.6814861596
227,DRM,20f4s,3,s1,66715.18632694325
228,DRM,20f4s,4,s1,80076.76662236541
229,DRM,20f4s,5,s1,172459.3567035461
230,DRM,20f4s,1,s2,39006.54580857114
231,DRM,20f4s,2,s2,40722.39964426442
232,DRM,20f4s,3,s2,36372.58796451634
233,DRM,20f4s,4,s2,37639.65248267595
234,DRM,20f4s,5,s2,64479.72832427596
235,DRM,20f4s,1,s3,59827.93262624132
236,DRM,20f4s,2,s3,51751.129568754804
237,DRM,20f4s,3,s3,41301.96271932692
238,DRM,20f4s,4,s3,50593.429531003836
239,DRM,20f4s,5,s3,79069.9125058817
240,DRM,20f4s,1,s4,46819.36220410962
241,DRM,20f4s,2,s4,59501.04263230385
242,DRM,20f4s,3,s4,59989.29231483172
243,DRM,20f4s,4,s4,72648.79437864808
244,DRM,20f4s,5,s4,67578.20264717883
245,DRM,20f4s,1,s5,26851.094433204802
246,DRM,20f4s,2,s5,23605.439050309604
247,DRM,20f4s,3,s5,21940.140558155763
248,DRM,20f4s,4,s5,20884.950626483656
249,DRM,20f4s,5,s5,40541.04614956153
250,DRM,20f4s,1,s6,26958.440733199037
251,DRM,20f4s,2,s6,25044.98762380673
252,DRM,20f4s,3,s6,25519.134966744223
253,DRM,20f4s,4,s6,25737.68426863846
254,DRM,20f4s,5,s6,37192.77483815768
255,DRM,20f4s,1,s7,17733.82005700096
256,DRM,20f4s,2,s7,22159.40543856346
257,DRM,20f4s,3,s7,17541.589537436535
258,DRM,20f4s,4,s7,19363.966032599994
259,DRM,20f4s,5,s7,27623.193598817306
260,DRM,20f4s,1,s8,26366.552756059613
261,DRM,20f4s,2,s8,27294.003963109604
262,DRM,20f4s,3,s8,21995.320157792306
263,DRM,20f4s,4,s8,22655.092360866343
264,DRM,20f4s,5,s8,33836.32611588749
265,DRM,20f4s,1,s9,21066.96569177885
266,DRM,20f4s,2,s9,26341.446917411537
267,DRM,20f4s,3,s9,15223.25404112596
268,DRM,20f4s,4,s9,20519.03279680096
269,DRM,20f4s,5,s9,31701.14675631057
