,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s5,s10,s15,s20
0,FixBase,20f2s,1,s1,zone1,1.557476170021593,2.9759942919921794,3.9508375884183606,1.6182361746508214,6.026845724822374
1,FixBase,20f2s,2,s1,zone1,4.103754312193775,4.176112728176129,4.1152850152780385,1.9609716769840437,5.0175184351916835
2,FixBase,20f2s,3,s1,zone1,3.2934174945810817,3.219594227680376,2.0199077594589867,3.6619360336696967,3.2877371150718737
3,FixBase,20f2s,4,s1,zone1,2.021722455907862,1.7407898854134694,2.252299544815478,1.5102441645709301,2.5966804076754246
4,FixBase,20f2s,5,s1,zone1,5.706967967017774,9.411524088880396,5.606166575881925,3.653920351611932,8.140713936308886
5,FixBase,20f2s,1,s2,zone1,1.0067860687581212,1.0859401953384888,1.8444795449784783,0.803530245147768,1.5781140062481396
6,FixBase,20f2s,2,s2,zone1,1.1828056237627498,2.516093176887788,3.199013700483229,1.7788244794190935,4.484719387779784
7,FixBase,20f2s,3,s2,zone1,0.7827849220710417,1.4075566965479573,2.651572383065668,0.8826386305976607,1.6086928376583784
8,FixBase,20f2s,4,s2,zone1,0.9344163758664678,2.434741296233754,1.807182960064115,1.2457533862585168,2.193036384564363
9,FixBase,20f2s,5,s2,zone1,3.7243026042608394,2.2677879067900584,3.1331880841310995,1.4790462773983377,5.462174375995194
10,FixBase,20f2s,1,s3,zone1,2.9514868687067355,1.881851436387099,1.4668810566939654,1.3905867184336007,2.055503157110007
11,FixBase,20f2s,2,s3,zone1,1.3714442283102195,3.336998914077669,2.3572552823156045,1.2739035481700658,1.7819974158722531
12,FixBase,20f2s,3,s3,zone1,1.2343911909830967,2.349533989848389,2.065992039933176,1.8371028449222766,3.3900701497788233
13,FixBase,20f2s,4,s3,zone1,1.3075322645389746,1.914907696212044,3.216502742350956,1.0069554373806127,2.232442718864871
14,FixBase,20f2s,5,s3,zone1,2.9725430396254473,3.85040373361221,5.677804959427181,1.1835607467414917,6.269667121102972
15,FixBase,20f2s,1,s4,zone2,1.1111884457599275,3.1498113164897448,2.6435955653478076,1.4178418985798371,3.539395523499535
16,FixBase,20f2s,2,s4,zone2,1.5416554482284117,1.433048051181745,2.2734905728245116,1.3871693830544118,2.9328620063816455
17,FixBase,20f2s,3,s4,zone2,1.345200563616475,2.9819761159702565,2.6060557891789293,1.1335274885209903,1.8765453890400783
18,FixBase,20f2s,4,s4,zone2,2.9039022560545407,1.7582120029627306,1.1459825999222268,1.0235066913887658,4.711747585821196
19,FixBase,20f2s,5,s4,zone2,1.9892460171697588,1.6615686982850786,1.6930477205064496,1.798483297060953,2.540167253556609
20,FixBase,20f2s,1,s5,zone2,1.0926338077847146,1.4770130715791314,2.2906636228662465,0.5748145940648602,1.6497631273751465
21,FixBase,20f2s,2,s5,zone2,0.9056732006450487,1.4450265673496383,3.322898389281626,1.4114067073440728,3.222387630960372
22,FixBase,20f2s,3,s5,zone2,0.5697247150227209,0.8509029425653758,1.5218589353343592,0.7376229734428341,2.3233942269492824
23,FixBase,20f2s,4,s5,zone2,0.7111379637833546,1.549875040953835,0.9399352615534758,1.1677426258483767,1.5674023808718887
24,FixBase,20f2s,5,s5,zone2,1.1527029816291001,1.2205490416488949,3.0292824923054242,1.3828191239937369,3.0486149442033112
25,FixBase,20f2s,1,s6,zone2,1.1540194170767466,1.6889492697052242,1.445598644697606,1.1587650200597028,1.4942800384160595
26,FixBase,20f2s,2,s6,zone2,1.1041554195214616,1.1183574271792487,2.505653506621162,1.1156185852118359,2.8569128830517028
27,FixBase,20f2s,3,s6,zone2,0.7344114638524774,0.9702595554787147,1.688583459546835,0.34455037472435995,2.5487968406102537
28,FixBase,20f2s,4,s6,zone2,1.1160809042794548,1.6049624707144814,2.898985062546181,1.2748855495715892,3.306068038643794
29,FixBase,20f2s,5,s6,zone2,1.6548835688661687,2.141105080107428,2.270831972272759,0.6530342252423812,1.3170098350715516
30,FixBase,20f2s,1,s7,zone3,1.049452291421212,1.065842439119508,0.9144457900232446,0.6808177886122937,1.29876686770687
31,FixBase,20f2s,2,s7,zone3,1.0301559377823357,1.1298975022167264,1.0271271583979253,0.42012855614526284,0.9174172789611352
32,FixBase,20f2s,3,s7,zone3,0.7520585922187961,0.416806393247985,0.7536741908928339,0.5803533070054998,0.6385287307428739
33,FixBase,20f2s,4,s7,zone3,0.35102085372562214,0.5754757778359717,0.9501181892569603,0.8085130548066771,1.7153512274303604
34,FixBase,20f2s,5,s7,zone3,1.1332367065459137,1.7126298122392871,1.4401316814244012,2.1178633472862436,3.135417808539273
35,FixBase,20f2s,1,s8,zone3,0.5507779850565477,0.8454630081740631,1.9635720113670656,0.4742680406888428,1.39163722424712
36,FixBase,20f2s,2,s8,zone3,1.2009362324376784,0.6764776646496766,1.7793056570056962,1.09687110181157,2.134656417724992
37,FixBase,20f2s,3,s8,zone3,0.4144609950598225,1.071206658376794,0.9432102118667808,0.6467316105493282,0.4406150980625023
38,FixBase,20f2s,4,s8,zone3,0.5813000382204532,0.7785590725550224,2.1032994861421668,0.8058056937893484,2.337140295300864
39,FixBase,20f2s,5,s8,zone3,3.2852493570481305,1.2417366031367292,1.0247276327103325,2.3931597804997686,4.5398749195384225
40,FixBase,20f2s,1,s9,zone3,0.7857392394356263,0.6548926594130444,1.205091362370763,1.0129151920671144,2.396787113183016
41,FixBase,20f2s,2,s9,zone3,0.9567936325422963,0.9379386537275392,0.5676869608675358,0.48894361399766245,0.8166433620640651
42,FixBase,20f2s,3,s9,zone3,0.5053655221239348,0.4180855444853557,0.7106503948237649,0.5458621521725321,0.8585897416638851
43,FixBase,20f2s,4,s9,zone3,0.807399939646734,0.4918696081732129,1.1136996810238964,0.6166165377286184,1.2075005176830933
44,FixBase,20f2s,5,s9,zone3,1.1477398703298651,2.091281170561337,1.6240079070274511,0.525317471860735,1.2908679514498513
45,FixBase,20f4s,1,s1,zone1,2.204219336141262,3.055078448641597,3.9894213223525763,1.5531845456654978,4.901247039590472
46,FixBase,20f4s,2,s1,zone1,3.7618479689178836,2.910764886535841,2.6262230926114607,2.124694845648086,4.11225979571528
47,FixBase,20f4s,3,s1,zone1,3.379580396822211,3.4734083759134973,2.115490638533199,3.4319598195080894,2.709348671633556
48,FixBase,20f4s,4,s1,zone1,1.5051990900592103,1.7826154159167744,1.3125231641651898,1.1710031433767256,1.5674009562548346
49,FixBase,20f4s,5,s1,zone1,4.238713312840937,7.428884475602395,4.623870953493792,3.4604223442944138,5.939493341422648
50,FixBase,20f4s,1,s2,zone1,1.1356878962311632,1.0306072841512859,1.360417531110715,0.8147473211290108,1.1867664147693986
51,FixBase,20f4s,2,s2,zone1,1.9233225036078772,1.0200375944437032,2.4312625057054444,1.7778464643109377,3.690035537828551
52,FixBase,20f4s,3,s2,zone1,1.1354641704997193,1.2797821610603448,2.3640680871514936,0.9999212363532196,1.137557208134062
53,FixBase,20f4s,4,s2,zone1,0.8370562084736748,2.4740324182227798,1.3353700636321426,1.0450251489325257,1.679800554707531
