,Sim_Type,Nsubs,Iteration,Station,s1,s5,s10,s15,s20
38,FixBase,20f2s,4,s8,0.0007714285714285715,0.00125,0.001971428571428572,0.0023928571428571436,0.0025071428571428575
39,FixBase,20f2s,5,s8,0.0007571428571428572,0.0011785714285714288,0.0020642857142857147,0.0028285714285714303,0.0028571428571428597
40,FixBase,20f2s,1,s9,0.0005571428571428571,0.0009928571428571428,0.001585714285714286,0.0024214285714285718,0.002414285714285716
41,FixBase,20f2s,2,s9,0.0004357142857142857,0.0006285714285714286,0.0008,0.0013142857142857136,0.0014142857142857151
42,FixBase,20f2s,3,s9,0.0005285714285714286,0.0006857142857142858,0.0008214285714285714,0.0010714285714285715,0.0012285714285714287
43,FixBase,20f2s,4,s9,0.00045,0.0009142857142857142,0.0014000000000000004,0.0018071428571428576,0.0018642857142857144
44,FixBase,20f2s,5,s9,0.0007285714285714285,0.0012000000000000001,0.0017357142857142864,0.0018071428571428576,0.001957142857142858
45,FixBase,20f4s,1,s1,0.00315,0.004542857142857144,0.0074857142857142865,0.008614285714285717,0.008850000000000005
46,FixBase,20f4s,2,s1,0.0039642857142857145,0.005007142857142858,0.005564285714285714,0.008978571428571431,0.009557142857142863
47,FixBase,20f4s,3,s1,0.008535714285714285,0.013842857142857143,0.020757142857142842,0.023907142857142853,0.023571428571428545
48,FixBase,20f4s,4,s1,0.0017785714285714286,0.002064285714285714,0.0024714285714285715,0.003857142857142859,0.004464285714285716
49,FixBase,20f4s,5,s1,0.006371428571428571,0.008792857142857144,0.012214285714285705,0.015092857142857147,0.015278571428571426
50,FixBase,20f4s,1,s2,0.001707142857142857,0.002171428571428571,0.002721428571428571,0.0036285714285714294,0.004007142857142858
51,FixBase,20f4s,2,s2,0.0019428571428571429,0.0027142857142857147,0.0036500000000000013,0.004271428571428571,0.004271428571428572
52,FixBase,20f4s,3,s2,0.0015999999999999999,0.0022714285714285714,0.003414285714285713,0.004192857142857147,0.004200000000000004
53,FixBase,20f4s,4,s2,0.0009571428571428571,0.0013928571428571432,0.0018857142857142864,0.002657142857142858,0.0028000000000000004
54,FixBase,20f4s,5,s2,0.0022642857142857143,0.0028571428571428576,0.003028571428571428,0.004685714285714287,0.004850000000000002
55,FixBase,20f4s,1,s3,0.0015714285714285715,0.0023357142857142865,0.003499999999999999,0.0043000000000000035,0.004357142857142859
56,FixBase,20f4s,2,s3,0.0010857142857142858,0.0014285714285714288,0.0020857142857142862,0.002671428571428573,0.0027928571428571425
57,FixBase,20f4s,3,s3,0.0013142857142857142,0.0016,0.001971428571428571,0.002607142857142858,0.002985714285714286
58,FixBase,20f4s,4,s3,0.001657142857142857,0.0021428571428571434,0.00277142857142857,0.003292857142857145,0.0036642857142857132
59,FixBase,20f4s,5,s3,0.002,0.003042857142857143,0.0043500000000000014,0.005171428571428573,0.0053428571428571405
60,FixBase,20f4s,1,s4,0.0018142857142857142,0.002385714285714286,0.0033928571428571454,0.004328571428571432,0.004285714285714289
61,FixBase,20f4s,2,s4,0.0015142857142857145,0.0022428571428571437,0.0029428571428571438,0.003557142857142856,0.0037428571428571433
62,FixBase,20f4s,3,s4,0.0011357142857142855,0.0014642857142857142,0.001992857142857143,0.003192857142857143,0.003314285714285714
63,FixBase,20f4s,4,s4,0.002028571428571429,0.0029071428571428573,0.004085714285714288,0.005399999999999999,0.005492857142857145
64,FixBase,20f4s,5,s4,0.0019500000000000001,0.0023,0.0032000000000000006,0.004471428571428572,0.0049
65,FixBase,20f4s,1,s5,0.0009357142857142857,0.001185714285714286,0.001657142857142857,0.0020142857142857124,0.0020857142857142862
66,FixBase,20f4s,2,s5,0.0010928571428571428,0.0015428571428571436,0.0016642857142857145,0.0023500000000000005,0.002428571428571429
67,FixBase,20f4s,3,s5,0.0009428571428571429,0.001371428571428572,0.0020142857142857146,0.0025142857142857146,0.0024857142857142873
68,FixBase,20f4s,4,s5,0.0008071428571428571,0.0010285714285714286,0.0010999999999999998,0.0017357142857142864,0.0019642857142857153
69,FixBase,20f4s,5,s5,0.00135,0.001664285714285714,0.0027428571428571437,0.0034142857142857174,0.003707142857142855
70,FixBase,20f4s,1,s6,0.0009428571428571429,0.001442857142857143,0.0018285714285714294,0.002450000000000001,0.002707142857142858
71,FixBase,20f4s,2,s6,0.0011285714285714284,0.001514285714285714,0.001942857142857143,0.002271428571428573,0.0024714285714285728
72,FixBase,20f4s,3,s6,0.0007214285714285714,0.0007428571428571431,0.0010285714285714293,0.0013571428571428573,0.001514285714285714
73,FixBase,20f4s,4,s6,0.0007571428571428572,0.0009428571428571429,0.0012785714285714288,0.0018285714285714294,0.0018714285714285734
74,FixBase,20f4s,5,s6,0.0011785714285714286,0.0013000000000000004,0.0018000000000000002,0.002478571428571429,0.002721428571428574
75,FixBase,20f4s,1,s7,0.0011642857142857143,0.0015928571428571426,0.0022571428571428573,0.0033857142857142875,0.0034785714285714324
76,FixBase,20f4s,2,s7,0.00065,0.0008928571428571429,0.001292857142857143,0.001557142857142858,0.0015714285714285728
77,FixBase,20f4s,3,s7,0.0004857142857142857,0.0007428571428571429,0.0010857142857142862,0.001285714285714285,0.0012857142857142848
78,FixBase,20f4s,4,s7,0.00085,0.0011142857142857144,0.0015357142857142857,0.0016642857142857143,0.0017714285714285727
79,FixBase,20f4s,5,s7,0.0010214285714285716,0.0014285714285714288,0.002171428571428572,0.002535714285714286,0.0026499999999999996
80,FixBase,20f4s,1,s8,0.0008928571428571428,0.001228571428571429,0.0018000000000000002,0.002057142857142859,0.0020214285714285725
81,FixBase,20f4s,2,s8,0.0007999999999999998,0.0009571428571428574,0.0013857142857142857,0.0016857142857142854,0.0018785714285714306
82,FixBase,20f4s,3,s8,0.0009714285714285714,0.0013142857142857147,0.0019714285714285715,0.0026000000000000034,0.0025857142857142884
83,FixBase,20f4s,4,s8,0.001192857142857143,0.0014928571428571428,0.002228571428571429,0.002792857142857141,0.002971428571428571
84,FixBase,20f4s,5,s8,0.0009,0.0014714285714285719,0.0023214285714285715,0.0027928571428571434,0.002764285714285717
85,FixBase,20f4s,1,s9,0.0007714285714285713,0.0009428571428571431,0.0013142857142857144,0.0020785714285714288,0.0021000000000000007
86,FixBase,20f4s,2,s9,0.0007571428571428572,0.0006000000000000001,0.0009142857142857147,0.001457142857142857,0.0017142857142857148
87,FixBase,20f4s,3,s9,0.0008285714285714285,0.0008857142857142861,0.0009142857142857147,0.0014571428571428572,0.0015785714285714292
88,FixBase,20f4s,4,s9,0.0007857142857142856,0.0010571428571428574,0.0017142857142857138,0.002042857142857144,0.002107142857142857
89,FixBase,20f4s,5,s9,0.0008285714285714285,0.001042857142857143,0.0015857142857142856,0.0017071428571428567,0.0018071428571428574
90,AbsBound,20f2s,1,s1,0.0012172078476558159,0.0021457793954777833,0.0031071433320916434,0.004257143752670841,0.004181169617181348
91,AbsBound,20f2s,2,s1,0.001531493594833833,0.0024766236234072827,0.002802922377285386,0.0040243512690823656,0.004198377219401347
92,AbsBound,20f2s,3,s1,0.0032149364146030765,0.006229225954757774,0.009493518607017642,0.010867223955820222,0.010441248197042546
93,AbsBound,20f2s,4,s1,0.0008448052012284161,0.0011610389851640576,0.0012561688629229078,0.002101948091940765,0.0023876623892930306
94,AbsBound,20f2s,5,s1,0.0021107146079865505,0.0037626635015966846,0.0052961061555633435,0.006096755752785091,0.005972729835586232
95,AbsBound,20f2s,1,s2,0.000713311698432241,0.0012561688629229078,0.0014561688739351787,0.0019659091518994198,0.0020110390339088888
96,AbsBound,20f2s,2,s2,0.0006750000109827975,0.0013009740748509396,0.0018344156748302354,0.002110714395772749,0.0020847403477697
97,AbsBound,20f2s,3,s2,0.000520454550781447,0.0009633117068897127,0.0015178571995096831,0.0018704546162375936,0.0019370130712859015
98,AbsBound,20f2s,4,s2,0.00031201298678920446,0.0005019480541981572,0.0006827922130041232,0.0009970779332487804,0.0010853896183724066
99,AbsBound,20f2s,5,s2,0.0008707792309629019,0.0012967532769010551,0.00144675328433109,0.0024012988311128704,0.002463311811401461
100,AbsBound,20f2s,1,s3,0.0005899350688201833,0.001008766249702775,0.001858116983503398,0.0023652599034901744,0.002284415725051934
101,AbsBound,20f2s,2,s3,0.0003594155847078266,0.0005613636398739274,0.0008613636446852777,0.001149350667152793,0.001242207813024594
102,AbsBound,20f2s,3,s3,0.0004425324688507753,0.0005996753271003992,0.0009016233893282877,0.0012876623526305202,0.0014256493735640002
103,AbsBound,20f2s,4,s3,0.0006516233832228342,0.0009659091055098867,0.0012038961298538103,0.0018801948609623665,0.0019159091488251782
