,Sim_Type,Nsubs,Iteration,Station,MaxShearY
130,AbsBound,20f2s,1,s9,16355.239044026786
131,AbsBound,20f2s,2,s9,14921.00706444107
132,AbsBound,20f2s,3,s9,12995.864858716071
133,AbsBound,20f2s,4,s9,12810.799260522323
134,AbsBound,20f2s,5,s9,20043.61605000804
135,AbsBound,20f4s,1,s1,76884.32323551162
136,AbsBound,20f4s,2,s1,62937.07540529195
137,AbsBound,20f4s,3,s1,123046.26708805986
138,AbsBound,20f4s,4,s1,55582.53203913213
139,AbsBound,20f4s,5,s1,161623.8493407643
140,AbsBound,20f4s,1,s2,41376.65883009376
141,AbsBound,20f4s,2,s2,41885.83186553035
142,AbsBound,20f4s,3,s2,31521.25510740267
143,AbsBound,20f4s,4,s2,26136.569638617857
144,AbsBound,20f4s,5,s2,71250.26359514998
145,AbsBound,20f4s,1,s3,34243.250256578554
146,AbsBound,20f4s,2,s3,44876.524230120536
147,AbsBound,20f4s,3,s3,43182.021501366966
148,AbsBound,20f4s,4,s3,50134.34472001072
149,AbsBound,20f4s,5,s3,66848.73619273392
150,AbsBound,20f4s,1,s4,56231.45421097232
151,AbsBound,20f4s,2,s4,42540.1643111893
152,AbsBound,20f4s,3,s4,31164.074690925
153,AbsBound,20f4s,4,s4,66871.53244368752
154,AbsBound,20f4s,5,s4,53425.66936335805
155,AbsBound,20f4s,1,s5,25431.737518299105
156,AbsBound,20f4s,2,s5,24179.071846724994
157,AbsBound,20f4s,3,s5,18807.714836847317
158,AbsBound,20f4s,4,s5,24085.91771580268
159,AbsBound,20f4s,5,s5,43121.92684349733
160,AbsBound,20f4s,1,s6,25163.116442255352
161,AbsBound,20f4s,2,s6,20383.059820438393
162,AbsBound,20f4s,3,s6,18853.59919304732
163,AbsBound,20f4s,4,s6,22416.15917173661
164,AbsBound,20f4s,5,s6,34676.518309508036
165,AbsBound,20f4s,1,s7,29351.496043805353
166,AbsBound,20f4s,2,s7,16028.092417502678
167,AbsBound,20f4s,3,s7,12315.929730364287
168,AbsBound,20f4s,4,s7,16722.04135918929
169,AbsBound,20f4s,5,s7,24812.24052155089
170,AbsBound,20f4s,1,s8,19838.281325408032
171,AbsBound,20f4s,2,s8,22519.272735048216
172,AbsBound,20f4s,3,s8,17597.596134450003
173,AbsBound,20f4s,4,s8,21350.495664758033
174,AbsBound,20f4s,5,s8,30318.714747302674
175,AbsBound,20f4s,1,s9,25042.01352733929
176,AbsBound,20f4s,2,s9,22918.722567760717
177,AbsBound,20f4s,3,s9,17000.36830711071
178,AbsBound,20f4s,4,s9,19641.271077380356
179,AbsBound,20f4s,5,s9,29840.27812620268
180,DRM,20f2s,1,s1,70378.30346151697
181,DRM,20f2s,2,s1,47977.10248021071
182,DRM,20f2s,3,s1,83754.48702101786
183,DRM,20f2s,4,s1,40956.11281247948
184,DRM,20f2s,5,s1,126511.43649356252
185,DRM,20f2s,1,s2,30811.149199976786
186,DRM,20f2s,2,s2,30807.927065346423
187,DRM,20f2s,3,s2,22641.566833205357
188,DRM,20f2s,4,s2,21632.925545951784
189,DRM,20f2s,5,s2,60985.73630377768
190,DRM,20f2s,1,s3,27784.820597150894
191,DRM,20f2s,2,s3,35689.19731156607
192,DRM,20f2s,3,s3,33344.16601839912
193,DRM,20f2s,4,s3,35760.178497961606
194,DRM,20f2s,5,s3,51853.40680183392
195,DRM,20f2s,1,s4,43395.3058127384
196,DRM,20f2s,2,s4,36572.2378609259
197,DRM,20f2s,3,s4,27786.05104245268
198,DRM,20f2s,4,s4,48367.57159109734
199,DRM,20f2s,5,s4,41836.453038168765
200,DRM,20f2s,1,s5,21677.489510729465
201,DRM,20f2s,2,s5,18030.815019120542
202,DRM,20f2s,3,s5,14477.638902637504
203,DRM,20f2s,4,s5,20298.965147019644
204,DRM,20f2s,5,s5,34298.208190655365
205,DRM,20f2s,1,s6,18841.79229752411
206,DRM,20f2s,2,s6,15647.949868178575
207,DRM,20f2s,3,s6,16735.97846136696
208,DRM,20f2s,4,s6,15817.713874537505
209,DRM,20f2s,5,s6,24447.33278680179
210,DRM,20f2s,1,s7,20095.821035365178
211,DRM,20f2s,2,s7,13877.048415214285
212,DRM,20f2s,3,s7,9174.497482229466
213,DRM,20f2s,4,s7,11885.647256276785
214,DRM,20f2s,5,s7,17671.244819448213
215,DRM,20f2s,1,s8,19012.507191683035
216,DRM,20f2s,2,s8,18527.985425338393
217,DRM,20f2s,3,s8,13812.084417334823
218,DRM,20f2s,4,s8,15169.780681730359
219,DRM,20f2s,5,s8,20964.21424365536
220,DRM,20f2s,1,s9,17737.786253933038
221,DRM,20f2s,2,s9,17325.46362581518
222,DRM,20f2s,3,s9,14804.91806579197
223,DRM,20f2s,4,s9,13282.662073708934
224,DRM,20f2s,5,s9,22465.317371705358
225,DRM,20f4s,1,s1,105741.75976174287
226,DRM,20f4s,2,s1,73607.5938465616
227,DRM,20f4s,3,s1,123863.78251870447
228,DRM,20f4s,4,s1,60252.89777299555
229,DRM,20f4s,5,s1,192827.14704557144
230,DRM,20f4s,1,s2,47298.941408349114
231,DRM,20f4s,2,s2,46978.7000841991
232,DRM,20f4s,3,s2,30804.77392918928
233,DRM,20f4s,4,s2,34356.666722697315
234,DRM,20f4s,5,s2,90686.89709287498
235,DRM,20f4s,1,s3,40441.36099459553
236,DRM,20f4s,2,s3,50717.33384460001
237,DRM,20f4s,3,s3,49745.583074105365
238,DRM,20f4s,4,s3,59170.43373645267
239,DRM,20f4s,5,s3,76060.55864716074
240,DRM,20f4s,1,s4,65685.0874221991
241,DRM,20f4s,2,s4,49124.79302223482
242,DRM,20f4s,3,s4,39228.56985992143
243,DRM,20f4s,4,s4,70730.05843948663
244,DRM,20f4s,5,s4,71671.5247643732
245,DRM,20f4s,1,s5,32006.736071249998
246,DRM,20f4s,2,s5,28069.577809505365
247,DRM,20f4s,3,s5,22002.69997857054
248,DRM,20f4s,4,s5,31533.376330725
249,DRM,20f4s,5,s5,52417.81306925626
