,Sim_Type,Nsubs,Iteration,Station,Max_Spectra_X,Max_Spectra_Y,Zone
71,FixBase,20f4s,2,s6,2.0304732420386307,1.7490594456846076,zone2
72,FixBase,20f4s,3,s6,2.112354958200537,1.3599041691004663,zone2
73,FixBase,20f4s,4,s6,2.592288731796879,1.2836273955175017,zone2
74,FixBase,20f4s,5,s6,2.2679693524126274,2.1891089024623542,zone2
75,FixBase,20f4s,1,s7,1.6965210042453058,1.51600666823229,zone3
76,FixBase,20f4s,2,s7,1.6352200258460934,0.8877622472599643,zone3
77,FixBase,20f4s,3,s7,1.1218356801858678,0.9502268371322915,zone3
78,FixBase,20f4s,4,s7,2.13007300854706,1.0550782360649176,zone3
79,FixBase,20f4s,5,s7,2.7459088437365806,1.3011199891719407,zone3
80,FixBase,20f4s,1,s8,1.9573518864155959,1.3776915448981961,zone3
81,FixBase,20f4s,2,s8,1.643046445436878,1.3209012501045585,zone3
82,FixBase,20f4s,3,s8,1.2841358282172979,1.1397818002946147,zone3
83,FixBase,20f4s,4,s8,1.8853201886479183,1.4247750031536166,zone3
84,FixBase,20f4s,5,s8,3.0765284005929194,2.0348214202675363,zone3
85,FixBase,20f4s,1,s9,1.561089270973792,1.6254391443469476,zone3
86,FixBase,20f4s,2,s9,1.2239684830549171,1.3304543500759194,zone3
87,FixBase,20f4s,3,s9,1.2875894265087409,1.06252797551197,zone3
88,FixBase,20f4s,4,s9,1.496374620110665,1.178493623985043,zone3
89,FixBase,20f4s,5,s9,1.8861875651261413,1.8784384484785788,zone3
90,AbsBound,20f2s,1,s1,3.857816624504212,5.0548798677469255,zone1
91,AbsBound,20f2s,2,s1,7.186863128682183,2.7369419343139243,zone1
92,AbsBound,20f2s,3,s1,5.692152141768983,5.303035106749991,zone1
93,AbsBound,20f2s,4,s1,4.0710021759964174,3.1185554739327457,zone1
94,AbsBound,20f2s,5,s1,11.39323718777495,7.37668635996178,zone1
95,AbsBound,20f2s,1,s2,1.7676713599874303,2.7649077910907645,zone1
96,AbsBound,20f2s,2,s2,3.8314048619391436,2.1953283239484054,zone1
