,Story 1,Story 5,Story 10,Story 15,Story 20
0.8225895895895896,1.0709792862054412,2.423157493004215,1.8331878064048373,1.4709572934001949,3.094491892695575
0.8245885885885886,1.0665472875737463,2.4192544273710834,1.8254170642006518,1.4675271032263744,3.0852827086174353
0.8265875875875877,1.062082159089607,2.4152322388433056,1.8176616120136027,1.464216623662692,3.076101788450627
0.8285865865865866,1.0594974895386116,2.411093631453937,1.8099219736636054,1.461023657708257,3.0669492081991057
0.8305855855855856,1.0572237697341276,2.4068412696778387,1.8021986573936108,1.4579459640130474,3.0578250381738217
0.8325845845845846,1.0548905144860699,2.40247777876041,1.7944921561973075,1.4549812609322994,3.048729343172016
0.8345835835835836,1.0524987677041546,2.3980057450518926,1.786802948141107,1.4521272304332609,3.039662182651202
0.8365825825825827,1.0500495661567657,2.393427716346512,1.7791314966802254,1.449381521857192,3.030623610897631
0.8385815815815816,1.0475439393403987,2.3887462022264034,1.7714782509692093,1.4467417555398554,3.021613677189756
0.8405805805805806,1.0449829093552312,2.3839636744096655,1.7638436461667841,1.4442055262934892,3.0126324259566313
0.8425795795795796,1.0423674907867853,2.3790825671024147,1.7562281037352505,1.4417704067534398,3.0036798969315726
0.8445785785785787,1.0396986905934777,2.3741052773542632,1.7486320317343809,1.439433950592488,2.9947561253010697
0.8465775775775776,1.0369775079999886,2.369034165417034,1.741055825109971,1.4371936956060374,2.9858611418491927
0.8485765765765766,1.0342049343963429,2.363871555106362,1.7334998659771352,1.4350471666712794,2.9769949730976837
0.8505755755755756,1.0313819532425168,2.358619734165764,1.7259645238983155,1.4329918785833398,2.9681576414416857
0.8525745745745746,1.0285095399785213,2.3532809546330222,1.7184501561562069,1.4310253387715859,2.9593491652814334
0.8545735735735736,1.0255886619398182,2.3478574332085222,1.7109571080216233,1.4291450498991263,2.9505695591499803
0.8565725725725726,1.0226202782779257,2.342351351625238,1.7034857130163428,1.4273485123485137,2.9418188338369924
0.8585715715715716,1.0196053398861473,2.3367648570201807,1.6960362931710815,1.4256332265967135,2.933096996508887
0.8605705705705706,1.0165447893302344,2.331100062306925,1.6918609555954836,1.4239966954822543,2.9244040508252245
0.8625695695695696,1.0134395607839708,2.325359046549206,1.699700219553283,1.4224364263676692,2.9157399970517885
0.8645685685685686,1.0102905799694384,2.3195438553350445,1.7071789621297344,1.4209499331999478,2.907104832170061
0.8665675675675676,1.007098764101952,2.3136565011514145,1.7142953183324294,1.4195347384720505,2.898498549983506
0.8685665665665666,1.0038650218394962,2.307698963759161,1.7210477680308958,1.4181883750882887,2.8899211412206602
0.8705655655655656,1.0005902532365913,2.3016731905679984,1.727435124974388,1.4169083881363926,2.8813725936351675
0.8725645645645645,0.9972753497023785,2.295581097011218,1.7334565259289387,1.4156923365689542,2.872852892102633
0.8745635635635636,0.9939211939629884,2.289424566920251,1.7391114199414297,1.4145377947971594,2.8643620187148255
0.8765625625625626,0.990528660027909,2.283205452898616,1.7443995577371667,1.413442354199341,2.8558999528709097
0.8785615615615616,0.9870986131603311,2.2769255766951764,1.7493209812572834,1.4124036245470264,2.8474666713659618
0.8805605605605606,0.9836319098513695,2.2705867295766193,1.7538760133417541,1.4114192353511492,2.83906214847689
0.8825595595595596,0.9801293977980197,2.2641906726988856,1.7580652475631127,1.4104868371308878,2.8306863560457525
0.8845585585585586,0.9765919158847651,2.257739137477497,1.7618895382155506,1.409604102607695,2.8223392635606137
0.8865575575575576,0.9730202941687324,2.25123382595659,1.7653499904636938,1.4087687278269558,2.8140208382340015
0.8885565565565566,0.9694153538682853,2.244676411176539,1.7684479506547865,1.4079784332096639,2.8057310450789963
0.8905555555555555,0.9657779073549557,2.2380685375400313,1.7711849967976039,1.407230964536491,2.79746984698306
0.8925545545545546,0.9621087581486375,2.2314118211765317,1.7735629292111177,1.4065240938666026,2.7892372047797553
0.8945535535535536,0.9584087009159059,2.22470785030493,1.7755837613453767,1.405855620393367,2.781033077318201
0.8965525525525526,0.9546785214714087,2.217958185594361,1.7772497107768752,1.4052233712393183,2.772857421530619
0.8985515515515515,0.9524395607812498,2.21116436052298,1.77856319038016,1.4046252021923764,2.7647101924977107
0.9005505505505506,0.9505315972460145,2.2043278817347844,1.7795267996773303,1.4040589983856078,2.7565913435122975
0.9025495495495496,0.9485723642147845,2.197450229394166,1.7801433163664484,1.4035226749224132,2.748500826140903
0.9045485485485486,0.9465627638011513,2.1905328575382694,1.780415688029911,1.4030141774493061,2.740438590283616
0.9065475475475476,0.9445036906088833,2.183577194427035,1.780347024023333,1.402531482678155,2.7324045842321616
0.9085465465465465,0.9423960316765849,2.1765846428908375,1.7799405875453453,1.4020725988598544,2.724398754726269
0.9105455455455456,0.9402406664264381,2.1695565806756365,1.779199787888324,1.4016355662112596,2.7164210470083483
0.9125445445445446,0.9380384666169865,2.162494360785651,1.77812817287011,1.4012184572972528,2.708471404876629
0.9145435435435436,0.9357902962997685,2.1553993118233232,1.776729421446091,1.4008193773696265,2.7005497707365955
0.9165425425425425,0.9352434909029467,2.148272738326828,1.7750073365014687,1.400436464664675,2.692656085651139
0.9185415415415416,0.9347878633119391,2.1411159211046518,1.7729658378225384,1.4000678906609476,2.6847902893889706
0.9205405405405406,0.9351888097658927,2.1339301175675724,1.7706089552464093,1.3997118602990182,2.676952320471809
0.9225395395395396,0.9373930550091226,2.1267165620578097,1.7679408219878952,1.39936661216474,2.6691421162201316
0.9245385385385386,0.9394105949052907,2.119476466175298,1.7649656681423112,1.3990304186375422,2.6613596127975434
0.9265375375375375,0.9412434579473252,2.1122110191010983,1.761687814362825,1.3987015860053056,2.6536047452538827
0.9285365365365366,0.9428936986429606,2.1049213879179156,1.7581116657108202,1.3983784545472737,2.645877447567082
0.9305355355355356,0.9443633958325003,2.0976087179276433,1.7542417056775585,1.3980593985863752,2.638177652683771
0.9325345345345346,0.9456546510475248,2.090274132965924,1.7507633053049965,1.3977428265123741,2.6305052925586825
0.9345335335335335,0.9467695869101957,2.0829187357137253,1.7507846210291913,1.3974271807771725,2.622860298192951
0.9365325325325325,0.9477103455727375,2.075543608005926,1.7504928232500752,1.397110937863595,2.615242599671312
0.9385315315315316,0.9484790871966189,2.068149811136753,1.7498911759633053,1.3967926082287863,2.607652126198103
0.9405305305305306,0.9490779884710578,2.0607383861622446,1.7489830534244273,1.3964707362236148,2.6000888061323346
